sample_timepoint,sample_nr,Dilution_factor,Fluoride,Formate,Acetate,Chloride,Nitrite,Propionate,Bromide,Nitrate,Phosphate,Sulfate
0,0,4,Not detected,0.054,0.08,0.032,Not detected,Not detected,Not detected,0.063,0.004,0.066
0.083333333,1,4,Not detected,0.05,0.086,0.028,Not detected,Not detected,Not detected,0.076,Not detected,0.084
0.166666667,2,4,Not detected,0.047,0.084,0.035,Not detected,Not detected,Not detected,0.112,Not detected,0.079
0.25,3,4,Not detected,0.049,0.076,0.029,Not detected,Not detected,Not detected,0.164,Not detected,0.077
0.333333333,4,4,Not detected,0.048,0.087,0.034,Not detected,Not detected,Not detected,0.09,Not detected,0.08
0.416666667,5,4,Not detected,0.048,0.083,0.038,Not detected,Not detected,Not detected,0.071,Not detected,0.054
0.5,6,4,Not detected,0.047,0.077,0.036,Not detected,Not detected,Not detected,0.16,Not detected,0.082
1,7,4,Not detected,Not detected,0.061,0.037,Not detected,Not detected,Not detected,0.087,Not detected,0.061
1.5,8,4,Not detected,Not detected,0.07,0.03,Not detected,Not detected,Not detected,0.148,Not detected,0.054
2.5,9,4,Not detected,0.049,0.099,0.033,Not detected,Not detected,Not detected,0.146,Not detected,0.058
3.5,10,4,Not detected,0.046,0.083,0.033,Not detected,Not detected,Not detected,0.073,Not detected,0.049
4,11,4,Not detected,0.048,0.088,0.03,Not detected,Not detected,Not detected,0.073,Not detected,0.05
4.5,12,4,Not detected,Not detected,0.066,0.031,Not detected,Not detected,Not detected,0.121,Not detected,0.048
5,13,4,Not detected,Not detected,0.078,0.041,Not detected,Not detected,Not detected,0.079,Not detected,0.047
6,14,4,Not detected,Not detected,0.06,0.029,Not detected,Not detected,Not detected,0.058,Not detected,0.04
7,15,4,Not detected,0.055,0.089,0.029,Not detected,Not detected,Not detected,0.153,Not detected,0.041
9,16,4,Not detected,0.047,0.082,0.026,Not detected,Not detected,Not detected,0.103,Not detected,0.045
11.5,17,4,Not detected,Not detected,0.073,0.08,Not detected,Not detected,Not detected,0.208,Not detected,0.043
12.5,19,1,Not detected,0.058,0.114,0.192,Not detected,Not detected,Not detected,0.475,Not detected,0.104
16.5,20,1,Not detected,0.049,0.088,0.058,Not detected,Not detected,Not detected,0.494,Not detected,0.201
17.5,21,1,Not detected,0.047,0.096,0.053,Not detected,Not detected,Not detected,0.454,Not detected,0.163
19,22,1,Not detected,0.048,0.082,0.039,Not detected,Not detected,Not detected,0.423,Not detected,0.13
20.5,23,1,Not detected,0.051,0.101,0.055,Not detected,Not detected,Not detected,0.693,Not detected,0.177
22,24,1,Not detected,0.051,0.089,0.057,Not detected,Not detected,Not detected,0.668,Not detected,0.129
24.5,25,1,Not detected,0.048,0.103,0.033,Not detected,Not detected,Not detected,0.72,Not detected,0.236
26,26,1,Not detected,Not detected,0.086,0.043,Not detected,Not detected,Not detected,0.405,Not detected,0.101
27.5,27,1,Not detected,0.05,0.111,0.037,Not detected,Not detected,Not detected,0.361,Not detected,0.093
28.5,28,1,Not detected,0.051,0.118,0.057,Not detected,Not detected,Not detected,0.254,Not detected,0.084
29.5,29,1,Not detected,0.051,0.101,0.042,Not detected,Not detected,Not detected,0.213,Not detected,0.06
30.5,30,1,Not detected,0.05,0.101,0.064,Not detected,Not detected,Not detected,0.152,Not detected,0.081
31,31,1,Not detected,0.05,0.11,0.037,Not detected,Not detected,Not detected,0.089,Not detected,0.046
35,32,1,Not detected,0.048,0.087,0.036,Not detected,Not detected,Not detected,0.071,Not detected,0.041
