sample_title,Number_of_cells
1,24065
2,24252
4,25557
5,28653
6,29718
7,28958
8,30351
9,32182
10,30573
11,38495
12,46043
13,56172
14,63246
15,64413
16,67755
17,69484
18,57968
19,54546
20,48313
21,43316
22,31857
23,19072
24,9978
25,10696
26,11470
27,11403
28,14381
29,20345
30,31339
31,33994
32,29934
33,31121
36,30076
91,30532
37,31056
38,31424
39,27695
40,22024
41,21943
42,22958
43,21949
44,20809
45,18718
46,21476
47,25048
48,28335
49,29777
50,33096
51,40682
52,44575
53,45928
54,45440
55,42286
56,41402
57,37258
58,26121
59,20936
60,21707
61,26156
62,22089
63,18601
64,20565
65,25481
66,28562
67,24684
68,24525
69,18432
70,21425
71,18476
72,15953
73,17750
74,21416
75,21650
76,22946
77,22888
87,23399
78,22972
