"";"Kingdom";"Phylum";"Class";"Order";"Lineage";"Clade";"Tribe"
"Otu00001";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"betI-A_unclassified"
"Otu00002";"Bacteria";"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"bacI";"bacI-A";"bacI-A2"
"Otu00003";"Bacteria";"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"bacI";"bacI-A";"bacI-A_unclassified"
"Otu00004";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Rhodospirillales_Incertae_Sedis";"Reyranella";""
"Otu00005";"Bacteria";"Verrucomicrobia";"OPB35_soil_group";"OPB35_soil_group_unclassified";"OPB35_soil_group_unclassified";"";""
"Otu00006";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu00007";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"alfIV";"alfIV-A";"Novo-A2"
"Otu00008";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Methylophilales";"betIV";"betIV-A";"LD28"
"Otu00009";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"alfIII";"alfIII-A";"Sphingo"
"Otu00010";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Nevskiaceae";"Nevskia";""
"Otu00011";"Bacteria";"Cyanobacteria";"Melainabacteria";"Obscuribacterales";"Obscuribacterales_unclassified";"";""
"Otu00012";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"betI-A_unclassified"
"Otu00013";"Bacteria";"Acidobacteria";"Acidobacteria";"Subgroup_3";"Unknown_Family";"Bryobacter";""
"Otu00014";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Nevskiaceae";"Nevskia";""
"Otu00015";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_unclassified";"Gammaproteobacteria_unclassified";"";""
"Otu00016";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Rhodospirillales_Incertae_Sedis";"Reyranella";""
"Otu00017";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"Burkholderiales_unclassified";"Burkholderiales_unclassified"
"Otu00018";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"betI-A_unclassified"
"Otu00019";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Rhodospirillaceae";"";""
"Otu00020";"Bacteria";"Chlamydiae";"Chlamydiae";"Chlamydiales";"Simkaniaceae";"Candidatus_Fritschea";""
"Otu00021";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"Burkholderiales_unclassified";"Burkholderiales_unclassified"
"Otu00022";"Bacteria";"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"bacVI";"bacVI_unclassified";"bacVI_unclassified"
"Otu00023";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu00024";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"alfI";"alfI_unclassified";"alfI_unclassified"
"Otu00025";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"LiUU-3-334";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified"
"Otu00026";"Bacteria";"WD272";"WD272_unclassified";"WD272_unclassified";"WD272_unclassified";"";""
"Otu00027";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"alfII";"alfII-A";"Brev"
"Otu00028";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Rhodospirillales_unclassified";"";""
"Otu00029";"Bacteria";"Cyanobacteria";"Melainabacteria";"Gastranaerophilales";"Gastranaerophilales_unclassified";"";""
"Otu00030";"Bacteria";"Acidobacteria";"Holophagae";"Holophagales";"Holophagaceae";"Holophaga";""
"Otu00031";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"betI-A_unclassified"
"Otu00032";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"Burkholderiales_unclassified";"Burkholderiales_unclassified"
"Otu00033";"Bacteria";"Acidobacteria";"Acidobacteria";"Subgroup_3";"Unknown_Family";"Bryobacter";""
"Otu00034";"Bacteria";"Chlamydiae";"Chlamydiae";"Chlamydiales";"Chlamydiales_unclassified";"";""
"Otu00035";"Bacteria";"Acidobacteria";"Acidobacteria";"Subgroup_3";"Unknown_Family";"Bryobacter";""
"Otu00036";"Bacteria";"Armatimonadetes";"Armatimonadetes_unclassified";"Armatimonadetes_unclassified";"Armatimonadetes_unclassified";"";""
"Otu00037";"Bacteria";"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"bacI";"bacI-A";"bacI-A_unclassified"
