Sample Id	Environment
Ramlibacter_sp_MAG	Ramlibacter
Ramlibacter_sp_Leaf400	Terrestrial
Ramlibacter_tataouinensis_5_10	Terrestrial
Ramlibacter_tataouinensis_TTB310	Terrestrial
Curvibacter_lanceolatus_ATCC_14669	Freshwater
Curvibacter_sp_PAE_UM	Freshwater
Limnohabitans_sp_63ED37_2_Limnohabitans_	Freshwater
Limnohabitans_sp_Rim28_Limnohabitans_sp_Rim28_73_Contigs_	Freshwater
Limnohabitans_sp_Rim47_finished	Freshwater
Rhodoferax_ferrireducens_T118	Freshwater
Rhodoferax_saidenbachensis_ED16	Freshwater
Variovorax_paradoxus_110B	Terrestrial
Variovorax_paradoxus_EPS	Terrestrial
Unclassified_Bacteroidetes_bin_2	Bacteroidetes
Unclassified_Bacteroidetes_bin_1	Bacteroidetes
