gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2755609744	585	42.4	9	562	1	524	4.0e-119	422	COG3975	Predicted metalloprotease, contains C-terminal PDZ domain	558
2755609745	243	20.42	3	236	9	242	9.0e-14	70.6	COG1651	Protein-disulfide isomerase	244
2755609746	377	32.09	1	375	1	384	2.0e-44	173	COG0654	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	387
2755609747	285	35.87	8	281	3	262	1.0e-40	160	COG3217	Uncharacterized conserved protein YcbX, contains MOSC and Fe-S domains	270
2755609748	364	61.83	1	364	1	372	0.0e+00	510	COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family	372
2755609750	215	40.98	4	203	59	260	2.0e-49	189	COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	266
2755609751	332	30.38	1	313	1	295	4.0e-54	205	COG1893	Ketopantoate reductase	307
2755609752	380	31.96	1	380	7	389	6.0e-59	221	COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	534
2755609753	530	29.96	275	493	17	247	8.0e-19	88.8	COG0491	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	252
2755609756	407	22.47	45	407	20	338	7.0e-14	72.3	COG1566	Multidrug resistance efflux pump	352
2755609759	548	40.7	6	543	2	480	0.0e+00	483	COG2509	Uncharacterized FAD-dependent dehydrogenase	486
2755609760	148	60.99	1	141	1	140	5.0e-57	213	COG0757	3-dehydroquinate dehydratase	146
2755609762	141	39.42	1	137	5	138	1.0e-21	95.3	COG3193	Uncharacterized conserved protein GlcG, DUF336 family	141
2755609763	324	34.18	6	321	4	317	7.0e-53	201	COG3181	Tripartite-type tricarboxylate transporter, receptor component TctC	319
2755609764	516	26.8	6	399	3	386	6.0e-41	162	COG0654	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	387
2755609765	288	39.72	10	287	1	266	7.0e-65	240	COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	266
2755609766	299	22.22	12	186	14	214	1.0e-05	43.8	COG2514	Catechol-2,3-dioxygenase	265
2755609767	347	22.16	11	343	6	293	1.0e-16	81.2	COG2159	Predicted metal-dependent hydrolase, TIM-barrel fold	293
2755609768	317	22.41	15	313	1	297	1.0e-25	110	COG0583	DNA-binding transcriptional regulator, LysR family	297
2755609769	944	32.84	187	525	12	336	2.0e-42	168	COG0642	Signal transduction histidine kinase	336
2755609770	170	34.19	23	169	29	174	8.0e-10	56.9	COG5430	Spore coat protein U (SCPU) domain, function unknown	174
2755609774	274	33.49	60	262	1	209	2.0e-28	119	COG0811	Biopolymer transport protein ExbB/TolQ	216
2755609775	141	40.32	17	140	12	135	3.0e-26	110	COG0848	Biopolymer transport protein ExbD	137
2755609776	141	33.07	11	137	10	135	4.0e-23	100	COG0848	Biopolymer transport protein ExbD	137
2755609779	381	34.5	136	377	28	282	3.0e-32	132	COG1408	Predicted phosphohydrolase, MPP superfamily	284
2755609780	371	54.1	3	367	2	356	2.0e-110	392	COG3288	NAD/NADP transhydrogenase alpha subunit	356
2755609782	474	73	1	473	1	463	0.0e+00	614	COG1282	NAD/NADP transhydrogenase beta subunit	463
2755609783	564	35.33	17	558	1	522	2.0e-129	456	COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	534
2755609784	233	37	7	232	7	231	5.0e-44	170	COG0775	Nucleoside phosphorylase	234
2755609785	340	27.54	12	339	4	322	2.0e-50	192	COG0598	Mg2+ and Co2+ transporter CorA	322
2755609788	158	29.23	31	158	29	149	4.0e-10	57.8	COG5642	Uncharacterized conserved protein, DUF2384 family	149
2755609789	160	34.81	6	139	12	142	2.0e-15	75.4	COG5654	Uncharacterized conserved protein, contains RES domain	163
2755609794	429	24.15	65	384	6	259	5.0e-26	112	COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	266
2755609795	178	24.64	6	136	2	137	4.0e-10	57.9	COG0346	Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme	138
2755609797	120	40.57	10	115	11	116	3.0e-15	73.8	COG2149	Uncharacterized membrane protein YidH, DUF202 family	120
2755609798	327	34.98	24	324	19	317	2.0e-51	196	COG3181	Tripartite-type tricarboxylate transporter, receptor component TctC	319
2755609799	317	24.26	1	305	1	297	6.0e-22	98.5	COG0583	DNA-binding transcriptional regulator, LysR family	297
2755609800	529	25.14	2	521	4	468	7.0e-52	198	COG3119	Arylsulfatase A or related enzyme	475
2755609803	374	23.45	13	370	3	355	6.0e-39	155	COG4638	Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit	367
2755609805	297	34.34	1	296	8	283	1.0e-55	210	COG2897	3-mercaptopyruvate sulfurtransferase SseA, contains two rhodanese domains	285
2755609808	439	26.4	1	437	2	411	7.0e-35	141	COG0025	NhaP-type Na+/H+ or K+/H+ antiporter	429
2755609811	423	36.39	37	423	35	438	3.0e-70	259	COG1502	Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase or related enzyme	438
2755609812	232	27.49	1	227	1	249	5.0e-22	98.2	COG2365	Protein tyrosine/serine phosphatase	249
2755609814	187	23.78	3	185	2	169	2.0e-09	56.2	COG3652	Predicted outer membrane protein	170
2755609817	205	44.17	1	205	1	204	7.0e-47	180	COG2941	Demethoxyubiquinone hydroxylase, CLK1/Coq7/Cat5 family	204
2755609818	149	39.73	1	146	2	135	2.0e-29	121	COG1765	Uncharacterized OsmC-related protein	137
2755609819	514	53.8	9	346	7	347	4.0e-119	421	COG1171	Threonine dehydratase	347
2755609821	146	44.3	7	145	1	149	2.0e-19	88.6	COG2165	Type II secretory pathway, pseudopilin PulG	149
2755609822	157	20.69	13	144	2	146	9.0e-07	46.6	COG2165	Type II secretory pathway, pseudopilin PulG	149
2755609824	227	19.57	1	183	3	177	4.0e-07	48.5	COG4795	Type II secretory pathway, component PulJ	194
2755609825	324	26.98	1	316	3	323	3.0e-26	113	COG3156	Type II secretory pathway, component PulK	323
2755609826	400	21.5	49	364	51	347	6.0e-11	62.3	COG3297	Type II secretory pathway, component PulL	390
2755609827	162	24.49	6	149	21	167	2.0e-07	48.9	COG3149	Type II secretory pathway, component PulM	181
2755609830	297	25.12	8	221	25	238	1.0e-19	90.7	COG0491	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	252
2755609831	560	35.43	13	558	1	522	1.0e-116	413	COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	534
2755609834	219	34.36	21	211	16	210	6.0e-27	114	COG0664	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	214
2755609835	384	54.5	15	378	13	363	2.0e-127	449	COG3185	4-hydroxyphenylpyruvate dioxygenase and related hemolysins	363
2755609836	160	44.87	5	160	4	154	4.0e-33	134	COG1522	DNA-binding transcriptional regulator, Lrp family	154
2755609838	292	45.04	12	270	11	267	8.0e-72	264	COG4535	Mg2+ and Co2+ transporter CorC, contains CBS pair and CorC-HlyC domains	293
2755609839	506	35.36	11	505	38	513	2.0e-72	267	COG0815	Apolipoprotein N-acyltransferase	518
2755609840	301	75.25	1	291	4	298	0.0e+00	536	COG0752	Glycyl-tRNA synthetase, alpha subunit	298
2755609841	702	46.51	1	701	1	690	0.0e+00	714	COG0751	Glycyl-tRNA synthetase, beta subunit	691
