unique_gene_callers_id	ko_id
Ramli-5-10.3044
Ramli-5-10.4330
Ramli-5-10.2414
Ramli-5-10.2313
Ramli-5-10.1786	K02358
Ramli-5-10.2323	K02358
Ramli-5-10.1838	K02518
Ramli-5-10.2855	K02518
Ramli-5-10.2472	K02518
Ramli-5-10.3374
Ramli-5-10.1083
Ramli-5-10.911
Ramli-5-10.504
Ramli-5-10.2087
Ramli-5-10.467	K09972
Ramli-5-10.3432	K10004
Ramli-5-10.875	K01996
Ramli-5-10.4545	K01996
Ramli-5-10.1174	K01996
Ramli-5-10.4196	K00252
Ramli-5-10.1686	K00252
Ramli-5-10.3373
Ramli-5-10.4334
Ramli-5-10.2698
Ramli-5-10.1496
Ramli-5-10.3337
Ramli-5-10.3272
Ramli-5-10.2455
Ramli-5-10.2604
Ramli-5-10.3735
Ramli-5-10.3736
Ramli-5-10.4363
Ramli-5-10.3862	K20034
Ramli-5-10.4437	K20034
Ramli-5-10.4512	K20034
Ramli-5-10.3779	K20034
Ramli-5-10.2027	K00029
Ramli-5-10.960	K00029
Ramli-5-10.2920	K01685
Ramli-5-10.1267	K01685
Ramli-5-10.4074
Ramli-5-10.2489
Ramli-5-10.1964	K02650
Ramli-5-10.988	K02650
Ramli-5-10.2411	K00163
Ramli-5-10.4248	K00163
Ramli-5-10.65	K00053
Ramli-5-10.74	K04751
Ramli-5-10.2192	K04752
Ramli-5-10.1752	K02110
Ramli-5-10.598	K02110
Ramli-5-10.2427
Ramli-5-10.2253	K01897
Ramli-5-10.362
Ramli-5-10.4024
Ramli-5-10.1551
Ramli-5-10.1489
Ramli-5-10.3279
Ramli-5-10.3335
Ramli-5-10.853	K05816
Ramli-5-10.3742	K10112
Ramli-5-10.2279	K03549
Ramli-5-10.3289	K03549
Ramli-5-10.3502	K18139
Ramli-5-10.3501	K18138
Ramli-5-10.1017	K00179
Ramli-5-10.3987	K00179
Ramli-5-10.921
Ramli-5-10.262	K08738
Ramli-5-10.887	K08738
Ramli-5-10.822	K01626
Ramli-5-10.2650	K01626
Ramli-5-10.2536	K01626
Ramli-5-10.2089	K11719
Ramli-5-10.2090	K03270
Ramli-5-10.4501	K00046
Ramli-5-10.1466	K00046
Ramli-5-10.4095	K01420
Ramli-5-10.4125	K01420
Ramli-5-10.3037	K07302
Ramli-5-10.3239	K07302
Ramli-5-10.2133	K21929
Ramli-5-10.1811	K00140
Ramli-5-10.643	K01703
Ramli-5-10.4597	K03704
Ramli-5-10.2854	K03704
Ramli-5-10.3602	K21393
Ramli-5-10.1268	K00135
Ramli-5-10.3246	K00135
Ramli-5-10.3888	K00135
Ramli-5-10.3357	K13529
Ramli-5-10.1654
Ramli-5-10.4177	K16165
Ramli-5-10.418
Ramli-5-10.185
Ramli-5-10.4432
Ramli-5-10.3643
Ramli-5-10.3781
Ramli-5-10.2470	K01179
Ramli-5-10.2290
Ramli-5-10.995
Ramli-5-10.4505	K00626
Ramli-5-10.3774	K00626
Ramli-5-10.3242	K00626
Ramli-5-10.324
Ramli-5-10.1820
Ramli-5-10.29	K15512
Ramli-5-10.3401	K15512
Ramli-5-10.2466	K01991
Ramli-5-10.3306	K01991
Ramli-5-10.3066	K19591
Ramli-5-10.3725	K06889
Ramli-5-10.3151	K06889
Ramli-5-10.4340	K00249
Ramli-5-10.1425	K18138
Ramli-5-10.398	K18138
Ramli-5-10.3358	K01840
Ramli-5-10.2862
Ramli-5-10.4553	K01912
Ramli-5-10.1600	K01912
Ramli-5-10.1179	K01912
Ramli-5-10.3343
Ramli-5-10.808	K01999
Ramli-5-10.1925	K04090
Ramli-5-10.1557
Ramli-5-10.4552
Ramli-5-10.344	K03768
Ramli-5-10.2632	K09699
Ramli-5-10.412	K09699
Ramli-5-10.1514
Ramli-5-10.1150
Ramli-5-10.280
Ramli-5-10.1766
Ramli-5-10.4463
Ramli-5-10.982	K01429
Ramli-5-10.3175	K01429
Ramli-5-10.3288	K07667
Ramli-5-10.3296	K07667
Ramli-5-10.1812	K00108
Ramli-5-10.3267	K07107
Ramli-5-10.4027	K07107
Ramli-5-10.3327
Ramli-5-10.1485
Ramli-5-10.3249
Ramli-5-10.3274
Ramli-5-10.3660
Ramli-5-10.4245	K01491
Ramli-5-10.2635	K01491
Ramli-5-10.3280
Ramli-5-10.1490
Ramli-5-10.3336
Ramli-5-10.3243
Ramli-5-10.1985	K03169
Ramli-5-10.3904	K15977
Ramli-5-10.596
Ramli-5-10.1518
Ramli-5-10.2039
Ramli-5-10.122	K01524
Ramli-5-10.4420	K01524
Ramli-5-10.636	K00240
Ramli-5-10.34	K01999
Ramli-5-10.4600	K00031
Ramli-5-10.4599	K00031
Ramli-5-10.2436	K00457
Ramli-5-10.1624	K10220
Ramli-5-10.3944	K10220
