gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2755613827	333	2	324	9.8e-73	230.9	TIGR00724	biotin-dependent carboxylase uncharacterized domain
2755613831	231	3	231	1.0e-60	192.6	TIGR02254	noncanonical pyrimidine nucleotidase, YjjG family
2755613831	231	84	200	5.2e-13	37.3	TIGR01549	haloacid dehalogenase superfamily, subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E
2755613833	219	3	218	2.4e-52	163.3	TIGR00164	phosphatidylserine decarboxylase precursor-related protein
2755613842	482	45	433	5.8e-80	255.1	TIGR01891	amidohydrolase
2755613843	507	4	504	0.0e+00	608.9	TIGR00499	lysyl-tRNA synthetase, eukaryotic and non-spirochete bacterial
2755613845	335	22	328	3.3e-121	390.2	TIGR00550	quinolinate synthetase complex, A subunit
2755613850	182	60	110	2.1e-15	43.2	TIGR00778	alkylhydroperoxidase AhpD family core domain
2755613850	182	7	171	2.0e-20	60.4	TIGR01926	uncharacterized peroxidase-related enzyme
2755613854	185	2	185	6.3e-55	172.9	TIGR02943	RNA polymerase sigma-70 factor, TIGR02943 family
2755613854	185	5	178	1.6e-30	93	TIGR02937	RNA polymerase sigma factor, sigma-70 family
2755613859	945	5	945	0.0e+00	964.5	TIGR00593	DNA polymerase I
2755613860	129	5	122	4.6e-47	145.4	TIGR04256	GxxExxY protein
2755613869	438	4	438	0.0e+00	507.2	TIGR00908	ethanolamine permease
2755613871	263	14	254	5.5e-43	133.2	TIGR00121	birA, biotin-[acetyl-CoA-carboxylase] ligase region
2755613872	133	24	124	1.8e-36	110.6	TIGR00090	ribosome silencing factor RsfS/YbeB/iojap
2755613873	695	157	651	0.0e+00	734.6	TIGR01241	ATP-dependent metalloprotease FtsH
2755613882	115	2	109	4.2e-41	126.3	TIGR03515	gliding motility-associated protein GldC
2755613889	257	9	245	2.3e-67	212.4	TIGR00370	sensor histidine kinase inhibitor, KipI family
2755613892	280	4	280	5.9e-78	248	TIGR00116	translation elongation factor Ts
2755613893	295	5	229	1.2e-94	301.8	TIGR01011	ribosomal protein S2, bacterial type
2755613895	147	7	147	2.3e-62	195.1	TIGR01066	ribosomal protein L13, bacterial type
2755613898	246	4	244	2.6e-25	75.2	TIGR00613	DNA repair protein RecO
2755613899	342	39	340	6.5e-97	310.6	TIGR00468	phenylalanyl-tRNA synthetase, alpha subunit
2755613901	434	1	433	0.0e+00	449.9	TIGR01072	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
