	Ramlibacter_tataouinensis_TTB310	Limnohabitans_sp_Rim11_CXOM00000000.1	Curvibacter_lanceolatus_ATCC_NZ_KB9062531	Limnohabitans_sp_103DPR2_NZ.CP011834.1	Variovorax_paradoxus_EPS_NC_0149311	Limnohabitans_sp_2KL-27_NZ.CXOP00000000.1	Rhodoferax_saidenbachensis_ED16_AWQR010000011	Limnohabitans_sp_Rim47_2684622883	Limnohabitans_planktonicus_II-D5_NZ.LFYT00000000.1	Limnohabitans_sp_2KL-3_NZ.CXON00000000.1	Ramlibacter_tataouinensis_5_10	Curvibacter_sp_PAE_UM_NZ_KQ4833581	Ramlibacter_sp_Leaf400	Rhodoferax_ferrireducens_T118_CP0002671	121950.assembled	Variovorax_paradoxus_110B_NZ_KB9074501
Ramlibacter_tataouinensis_TTB310	4070193.0	742085.0	1335112.0	813659.0	1532577.0	1029943.0	1138952.0	940095.0	988737.0	992513.0	1791212.0	1343098.0	2065959.0	1087451.0	1695257.0	1496094.0
Limnohabitans_sp_Rim11_CXOM00000000.1	748800.0	2859441.0	759512.0	2018873.0	693699.0	1156610.0	744458.0	1142030.0	1075486.0	1158788.0	754430.0	784530.0	731765.0	727272.0	699378.0	678680.0
Curvibacter_lanceolatus_ATCC_NZ_KB9062531	1391623.0	776896.0	6832523.0	811776.0	1652097.0	1105221.0	1263642.0	1018049.0	1125411.0	1123351.0	1381950.0	1351266.0	1395735.0	1268859.0	1418936.0	1762956.0
Limnohabitans_sp_103DPR2_NZ.CP011834.1	780292.0	2001533.0	788658.0	2948795.0	729646.0	1169764.0	738569.0	1170204.0	1091598.0	1175506.0	785878.0	804882.0	749885.0	735094.0	722726.0	675811.0
Variovorax_paradoxus_EPS_NC_0149311	1557404.0	681588.0	1622000.0	747778.0	6550056.0	950523.0	1159662.0	894254.0	989166.0	948968.0	1479798.0	1205368.0	1541631.0	1129843.0	1403244.0	4269167.0
Limnohabitans_sp_2KL-27_NZ.CXOP00000000.1	1027882.0	1149849.0	1066429.0	1174569.0	940746.0	2970381.0	911575.0	1954064.0	1834324.0	2021164.0	985527.0	1017918.0	1001545.0	875594.0	964987.0	910527.0
Rhodoferax_saidenbachensis_ED16_AWQR010000011	1126307.0	729178.0	1215831.0	756476.0	1161124.0	889954.0	4249393.0	876635.0	917796.0	888583.0	1155799.0	1297434.0	1111541.0	1369868.0	1087703.0	1138986.0
Limnohabitans_sp_Rim47_2684622883	957302.0	1146804.0	991973.0	1179256.0	899793.0	1971536.0	891669.0	2955075.0	1741083.0	1859809.0	947694.0	988743.0	940188.0	890451.0	912032.0	876758.0
Limnohabitans_planktonicus_II-D5_NZ.LFYT00000000.1	989083.0	1056328.0	1055585.0	1091831.0	972247.0	1847528.0	891188.0	1721072.0	4742254.0	2175129.0	984774.0	973926.0	964247.0	862471.0	921995.0	920973.0
Limnohabitans_sp_2KL-3_NZ.CXON00000000.1	1006858.0	1133723.0	1089294.0	1207621.0	951949.0	2026618.0	894175.0	1874728.0	2178722.0	4771989.0	974108.0	1006578.0	993852.0	864327.0	943137.0	920113.0
Ramlibacter_tataouinensis_5_10	1817604.0	756097.0	1380234.0	802113.0	1511484.0	1021920.0	1155727.0	953779.0	1019871.0	1001307.0	4916630.0	1352997.0	1971374.0	1150754.0	1869721.0	1468574.0
Curvibacter_sp_PAE_UM_NZ_KQ4833581	1359287.0	808645.0	1319534.0	833412.0	1214422.0	1043070.0	1289210.0	1003341.0	1003986.0	1026907.0	1324809.0	3632663.0	1308128.0	1254895.0	1275809.0	1208789.0
Ramlibacter_sp_Leaf400	2069955.0	726226.0	1384036.0	775419.0	1537610.0	1018664.0	1127546.0	952488.0	994241.0	1003046.0	1967299.0	1310013.0	4585682.0	1086278.0	1770311.0	1515479.0
Rhodoferax_ferrireducens_T118_CP0002671	1102724.0	724764.0	1225590.0	737279.0	1129326.0	864718.0	1329769.0	848263.0	880309.0	856989.0	1115466.0	1231264.0	1071847.0	4969784.0	1074183.0	1113799.0
121950.assembled	1688617.0	711661.0	1366175.0	760935.0	1391026.0	989093.0	1103893.0	922675.0	944567.0	948010.0	1852810.0	1268842.0	1780498.0	1094174.0	3945826.0	1401844.0
Variovorax_paradoxus_110B_NZ_KB9074501	1511026.0	652762.0	1713019.0	693266.0	4260837.0	916041.0	1138719.0	852635.0	963391.0	931323.0	1449451.0	1192302.0	1525315.0	1105025.0	1427945.0	7515890.0
