	Ramlibacter_tataouinensis_TTB310	Limnohabitans_sp_Rim11_CXOM00000000.1	Curvibacter_lanceolatus_ATCC_NZ_KB9062531	Limnohabitans_sp_103DPR2_NZ.CP011834.1	Variovorax_paradoxus_EPS_NC_0149311	Limnohabitans_sp_2KL-27_NZ.CXOP00000000.1	Rhodoferax_saidenbachensis_ED16_AWQR010000011	Limnohabitans_sp_Rim47_2684622883	Limnohabitans_planktonicus_II-D5_NZ.LFYT00000000.1	Limnohabitans_sp_2KL-3_NZ.CXON00000000.1	Ramlibacter_tataouinensis_5_10	Curvibacter_sp_PAE_UM_NZ_KQ4833581	Ramlibacter_sp_Leaf400	Rhodoferax_ferrireducens_T118_CP0002671	121950.assembled	Variovorax_paradoxus_110B_NZ_KB9074501
Ramlibacter_tataouinensis_TTB310	1.0	0.18232182110283224	0.32802179159563194	0.19990673660929592	0.37653669002919515	0.25304524871425016	0.2798275167786884	0.23097061982073086	0.24292140446411264	0.24384912459925118	0.4400803598256889	0.3299838607161872	0.5075825642666085	0.2671743084418847	0.4165053106818276	0.36757323301376615
Limnohabitans_sp_Rim11_CXOM00000000.1	0.26186936537595984	1.0	0.2656155521306437	0.7060376486173346	0.24259951508004537	0.40448814995658244	0.2603508867642312	0.3993892512557524	0.37611756983270506	0.40524983729337305	0.26383828167813217	0.27436481466132717	0.2559119072573975	0.254340621121401	0.24458556759870198	0.23734708986826447
Curvibacter_lanceolatus_ATCC_NZ_KB9062531	0.20367629936993992	0.11370558137894303	1.0	0.11881057700061895	0.2417989665018325	0.1617588407678979	0.18494515130062497	0.1490004497606521	0.164713825332165	0.1644123261641417	0.2022605705096053	0.19776969649425255	0.20427812683543106	0.18570870526158492	0.20767379780499823	0.25802415886488783
Limnohabitans_sp_103DPR2_NZ.CP011834.1	0.2646138507424219	0.6787630201489083	0.2674509418253897	1.0	0.24743869953659037	0.396692208173169	0.2504646813359355	0.39684142166545994	0.3701844312676873	0.39863944424756553	0.2665081838513698	0.27295285023204396	0.25430218106039926	0.24928623386841064	0.2450919782487423	0.22918208963322306
Variovorax_paradoxus_EPS_NC_0149311	0.23776957021436151	0.1040583469820716	0.24763147063170146	0.11416360409743062	1.0	0.14511677457414104	0.1770461199110359	0.1365261609977075	0.1510164187909233	0.14487937202368956	0.22592142723665262	0.18402407551935435	0.23536149919939617	0.1724936397490342	0.2142338935728183	0.6517756489410167
Limnohabitans_sp_2KL-27_NZ.CXOP00000000.1	0.34604382400776196	0.38710488654485736	0.3590209471444909	0.3954270512772604	0.3167088666403401	1.0	0.3068882409360954	0.6578496159246912	0.6175382888592407	0.6804393106473546	0.3317847104462357	0.34268937217144874	0.3371772846648292	0.29477498004464747	0.3248697725981953	0.3065354242435566
Rhodoferax_saidenbachensis_ED16_AWQR010000011	0.2650512673221799	0.17159580203572605	0.28611874684219607	0.1780197783542261	0.2732446728273897	0.20943085283003948	1.0	0.2062965228210241	0.2159828474325627	0.2091082185149738	0.27199155267587627	0.305322195428853	0.26157641809077203	0.3223679240776271	0.25596667571109566	0.2680349875852857
Limnohabitans_sp_Rim47_2684622883	0.3239518455538353	0.3880794903682648	0.33568454269350184	0.39906127594054297	0.3044907489657623	0.6671695303841696	0.30174158016294	1.0	0.5891840308621609	0.629361014525858	0.3207004898352834	0.3345915078297505	0.3181604527803863	0.30132940788304863	0.30863243741698604	0.2966956845426935
Limnohabitans_planktonicus_II-D5_NZ.LFYT00000000.1	0.208568119716911	0.22274808561498394	0.22259140906412858	0.23023460995551903	0.20501790920520074	0.3895885796079248	0.18792498250831777	0.3629227789148367	1.0	0.45866986458338166	0.20765948007002577	0.2053719602534997	0.2033309476885886	0.1818694232742489	0.19442126043860156	0.19420575110485436
Limnohabitans_sp_2KL-3_NZ.CXON00000000.1	0.2109933614683521	0.23757871193751703	0.22826833842240626	0.25306449784356166	0.19948683871651843	0.4246904173500819	0.1873799373804089	0.3928609223533416	0.4565647573789462	1.0	0.20413039510359307	0.2109346857253862	0.20826787320758702	0.18112510318024622	0.19764022926289226	0.19281540674129802
Ramlibacter_tataouinensis_5_10	0.36968492646385837	0.15378358753861893	0.280727652884191	0.16314284377714003	0.3074227672206369	0.2078496856586727	0.2350648716702294	0.1939903958605793	0.20743293678800317	0.20365717981625625	1.0	0.2751878827570918	0.4009604139420701	0.2340534064999807	0.3802850733124111	0.2986952445069082
