	Limnohabitans_sp_63ED37-2_NZ.CP011774.1	Limnohabitans_planktonicus_II-D5_NZ.LFYT00000000.1	121950.assembled	Limnohabitans_sp_DM1_NZ.CXOO00000000.1	Limnohabitans_sp_2KL-27_NZ.CXOP00000000.1	Limnohabitans_sp_Rim28_NZ.ALKN00000000.1	Limnohabitans_sp_2KL-3_NZ.CXON00000000.1	Limnohabitans_sp_Rim11_CXOM00000000.1	Rhodoferax_ferrireducens_T118_CP0002671	Rhodoferax_saidenbachensis_ED16_AWQR010000011	Limnohabitans_sp_Rim47_2684622883	Limnohabitans_sp_103DPR2_NZ.CP011834.1
Limnohabitans_sp_63ED37-2_NZ.CP011774.1	1.0	0.8395570918367349	0.7507900952380956	0.8488577154308621	0.8558730389854367	0.8336364137931038	0.846204332904332	0.7515553933495537	0.7472153444676406	0.7552440849342762	0.8258603465851175	0.7554031611410938
Limnohabitans_planktonicus_II-D5_NZ.LFYT00000000.1	0.835623938030985	1.0	0.7516985044865397	0.9025375767366715	0.8343471234309634	0.8239714763231194	0.8448385809312634	0.7539926121372045	0.7467450479233234	0.7561014418125644	0.8241756998880184	0.7535912190963349
121950.assembled	0.7510663602941173	0.7528266990291258	1.0	0.7536709039548026	0.7523193668528859	0.7459340529931309	0.7498238141335903	0.7239612035851469	0.7437718723761545	0.7510216306156404	0.7459777666998996	0.725720288115246
Limnohabitans_sp_DM1_NZ.CXOO00000000.1	0.8448721223895088	0.901878571428571	0.7525892452830195	1.0	0.8417100051572985	0.8253420936639139	0.8519922913117565	0.7525745013009544	0.7451427385892123	0.755593655589124	0.8241792689579924	0.7514648148148146
Limnohabitans_sp_2KL-27_NZ.CXOP00000000.1	0.8545707828518156	0.8367865577227197	0.7520866539561489	0.8437277806788497	1.0	0.8290736683417071	0.8407814939759036	0.7499085020242913	0.7461873817034695	0.7537950753768857	0.8308310120240477	0.752132460317461
Limnohabitans_sp_Rim28_NZ.ALKN00000000.1	0.8328230594643646	0.8247817386550017	0.746698719211824	0.8273156335710359	0.8294401901901886	1.0	0.8267979196217458	0.7535356853203569	0.744751235230935	0.7513562296858067	0.815089660831509	0.7516549096622148
Limnohabitans_sp_2KL-3_NZ.CXON00000000.1	0.844060836820084	0.8480162174105175	0.7482614410905548	0.8529630795406239	0.8401160458452729	0.8250520379146911	1.0	0.7529756978653527	0.7456587234042542	0.7527738729508191	0.8226454498714642	0.7508602150537631
Limnohabitans_sp_Rim11_CXOM00000000.1	0.7487843971631197	0.7537259706643665	0.7249432114882511	0.7526854621848731	0.7488712328767126	0.7515066014669916	0.7517780624499594	1.0	0.7322238636363636	0.7349285714285714	0.7508362520458256	0.8165726695949251
Rhodoferax_ferrireducens_T118_CP0002671	0.7446401041666669	0.7456570686070692	0.7424189743589757	0.7458478033472804	0.7457509032943687	0.7438710208562023	0.7444792291220557	0.7318282828282816	1.0	0.7574061884669488	0.7460473513513511	0.7338368159203985
Rhodoferax_saidenbachensis_ED16_AWQR010000011	0.7562693239152365	0.7577610891089108	0.7517118487394963	0.7582733333333335	0.7553188524590162	0.7521239130434786	0.7542168205128199	0.7363871731008726	0.75658081081081	1.0	0.7537930353430357	0.7378884892086334
Limnohabitans_sp_Rim47_2684622883	0.825714488348532	0.8244678670360109	0.746103225806451	0.8252541369863018	0.8306128408527529	0.8152021169916417	0.8239664757938562	0.7518844229217099	0.7459057613168729	0.7534091469681397	1.0	0.7533485421591806
Limnohabitans_sp_103DPR2_NZ.CP011834.1	0.7538093436293436	0.7533744680851072	0.7258801767676769	0.7510746598639451	0.7510524760383385	0.7494171588188353	0.750712222222223	0.8175531726512528	0.7341997493734335	0.7381107940446655	0.7522433917197432	1.0
