gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2727813499	218	35	202	ProSiteProfiles	PS51352	IPR012336	Thioredoxin-like fold	
2727813499	218	40	203	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
2727813500	319	77	141	SUPERFAMILY	SSF82185			
2727813500	319	152	203	SUPERFAMILY	SSF82185			
2727813500	319	254	314	SUPERFAMILY	SSF74653			
2727813501	357	3	327	SUPERFAMILY	SSF56796			
2727813502	797	569	743	SUPERFAMILY	SSF56935			
2727813503	333	187	301	SUPERFAMILY	SSF50891	IPR002130	Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain	GO:0003755|GO:0006457
2727813503	333	24	311	SMART	SM00797	IPR003778	Allophanate hydrolase subunit 2	
2727813504	261	9	250	SUPERFAMILY	SSF88713	IPR011330	Glycoside hydrolase/deacetylase, beta/alpha-barrel	GO:0003824|GO:0005975
2727813506	234	139	167	ProSitePatterns	PS00061	IPR020904	Short-chain dehydrogenase/reductase, conserved site	GO:0016491
2727813506	234	2	213	SUPERFAMILY	SSF51735			
2727813507	231	3	231	SUPERFAMILY	SSF56784	IPR023214	HAD-like domain	
2727813510	457	211	218	ProSitePatterns	PS00687	IPR016160	Aldehyde dehydrogenase, conserved site	GO:0008152|GO:0016491|GO:0055114
2727813510	457	239	250	ProSitePatterns	PS00070	IPR016160	Aldehyde dehydrogenase, conserved site	GO:0008152|GO:0016491|GO:0055114
2727813510	457	8	441	SUPERFAMILY	SSF53720	IPR016161	Aldehyde/histidinol dehydrogenase	GO:0008152|GO:0016491|GO:0055114
2727813511	221	57	221	ProSiteProfiles	PS51355	IPR000889	Glutathione peroxidase	GO:0004602|GO:0006979|GO:0055114
2727813511	221	87	102	ProSitePatterns	PS00460	IPR000889	Glutathione peroxidase	GO:0004602|GO:0006979|GO:0055114
2727813511	221	66	213	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
2727813514	247	1	243	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2727813515	243	7	239	SUPERFAMILY	SSF53474			
2727813516	258	28	110	SUPERFAMILY	SSF49464	IPR008969	Carboxypeptidase-like, regulatory domain	
2727813518	482	214	318	SUPERFAMILY	SSF55031	IPR011650	Peptidase M20, dimerisation domain	
2727813518	482	35	224	SUPERFAMILY	SSF53187			
2727813518	482	323	352	SUPERFAMILY	SSF53187			
2727813518	482	384	448	SUPERFAMILY	SSF53187			
2727813519	507	188	502	ProSiteProfiles	PS50862	IPR006195	Aminoacyl-tRNA synthetase, class II	GO:0004812|GO:0006418
2727813519	507	4	147	SUPERFAMILY	SSF50249	IPR012340	Nucleic acid-binding, OB-fold	
2727813519	507	163	501	SUPERFAMILY	SSF55681			
2727813520	701	339	446	ProSiteProfiles	PS50198	IPR000297	Peptidyl-prolyl cis-trans isomerase, PpiC-type	GO:0016853
2727813520	701	47	162	SUPERFAMILY	SSF109998	IPR027304	Trigger factor/SurA domain	
2727813520	701	213	258	SUPERFAMILY	SSF109998	IPR027304	Trigger factor/SurA domain	
2727813520	701	338	447	SUPERFAMILY	SSF54534			
2727813521	335	25	326	SUPERFAMILY	SSF142754			
2727813522	114	7	113	SUPERFAMILY	SSF54427			
2727813524	398	80	111	ProSiteProfiles	PS50035	IPR001736	Phospholipase D/Transphosphatidylase	GO:0003824|GO:0008152
2727813524	398	72	125	SUPERFAMILY	SSF56024			
2727813525	196	16	143	SUPERFAMILY	SSF51206	IPR018490	Cyclic nucleotide-binding-like	
2727813526	182	7	178	SUPERFAMILY	SSF69118			
