gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2727816807	694	1	672	340	1020	0.0e+00	649.3	pfam00873	ACR_tran	1021
2727816808	269	29	80	2	51	1.8e-17	63.2	pfam03988	DUF347	52
2727816808	269	84	135	1	50	1.2e-13	50.8	pfam03988	DUF347	52
2727816808	269	149	204	1	51	4.5e-15	55.4	pfam03988	DUF347	52
2727816808	269	208	258	1	43	2.9e-11	43.3	pfam03988	DUF347	52
2727816809	247	70	245	67	231	2.1e-05	24.5	pfam13557	Phenol_MetA_deg	241
2727816810	190	53	171	2	132	1.3e-15	57.2	pfam01569	PAP2	136
2727816811	116	36	97	1	62	4.5e-10	39.8	pfam03413	PepSY	63
2727816812	56	23	56	1	32	6.7e-10	38.9	pfam03988	DUF347	52
2727816813	143	7	143	3	139	6.9e-20	71.2	pfam00106	adh_short	195
2727816814	233	1	74	3	76	1.5e-18	66.8	pfam02798	GST_N	76
2727816814	233	96	193	34	93	2.5e-04	21	pfam00043	GST_C	93
2727816820	137	3	135	3	120	1.2e-39	135.2	pfam01741	MscL	121
2727816822	626	19	116	4	102	4.5e-04	20.3	pfam13426	PAS_9	102
2727816822	626	154	239	11	88	9.1e-16	57.8	pfam08447	PAS_3	89
2727816822	626	279	368	2	88	2.7e-19	69.1	pfam08447	PAS_3	89
2727816822	626	405	472	2	62	8.4e-13	48	pfam00512	HisKA	64
2727816822	626	513	626	1	108	1.8e-15	57.3	pfam02518	HATPase_c	111
2727816824	413	64	413	2	335	1.3e-60	205.8	pfam13458	Peripla_BP_6	342
2727816825	485	47	179	3	131	7.3e-27	93.9	pfam13173	AAA_14	131
2727816825	485	234	410	1	121	2.4e-19	69.6	pfam13635	DUF4143	122
2727816830	308	48	289	1	229	9.4e-34	117.1	pfam12684	DUF3799	234
2727816833	1701	885	1111	3	148	1.3e-05	25.2	pfam04851	ResIII	171
2727816840	335	79	203	1	112	5.3e-07	30.4	pfam00188	CAP	126
2727816843	195	44	187	16	129	7.9e-11	41.8	pfam08805	PilS	138
2727816845	640	258	484	75	251	2.5e-20	72.5	pfam00437	T2SSE	273
2727816849	183	83	166	1	78	4.4e-15	55.5	pfam10671	TcpQ	80
2727816850	448	11	118	124	208	4.5e-14	52.5	pfam03524	CagX	210
2727816850	448	367	447	2	79	1.9e-14	53.5	pfam10671	TcpQ	80
2727816851	450	265	440	1	187	5.7e-46	156.6	pfam03743	TrbI	187
2727816852	281	40	267	2	209	8.2e-56	188.9	pfam03524	CagX	210
2727816853	245	35	242	6	211	1.9e-30	106.3	pfam04335	VirB8	214
2727816855	164	6	113	6	96	1.1e-15	57.2	pfam01464	SLT	117
2727816856	655	197	328	1	130	1.4e-34	119.3	pfam00004	AAA	132
2727816856	655	454	577	1	131	1.2e-31	109.7	pfam00004	AAA	132
2727816857	487	139	367	13	214	1.8e-15	57.2	pfam04610	TrbL	215
2727816859	846	209	346	30	132	2.5e-05	24.3	pfam03135	CagE_TrbE_VirB	206
2727816861	122	6	115	7	89	8.3e-08	32.2	pfam04956	TrbC	99
2727816862	328	27	302	4	268	6.0e-67	225.4	pfam00437	T2SSE	273
2727816863	212	43	210	50	201	2.7e-22	79.1	pfam14348	DUF4400	204
2727816865	645	147	345	10	82	5.8e-06	26.4	pfam01935	DUF87	229
2727816865	645	493	622	1	125	3.2e-17	62.5	pfam12696	TraG-D_C	126
2727816866	603	42	359	2	323	4.2e-52	177	pfam07514	TraI_2	327
2727816870	356	29	66	1	32	1.3e-08	34.9	pfam08273	Prim_Zn_Ribbon	39
2727816870	356	235	344	2	90	5.0e-08	33.1	pfam13362	Toprim_3	95
2727816871	770	604	765	4	140	1.0e-06	29	pfam00092	VWA	175
2727816872	364	11	283	3	256	7.2e-79	264.5	pfam11348	DUF3150	256
2727816874	855	101	612	2	524	0.0e+00	470.8	pfam02867	Ribonuc_red_lgC	524
2727816876	164	3	99	7	103	9.7e-12	44.7	pfam00436	SSB	104
2727816879	269	9	148	2	137	4.7e-19	68.6	pfam07728	AAA_5	138
2727816879	269	161	259	10	83	8.8e-08	32.2	pfam08406	CbbQ_C	85
