gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2727790668	585	278	395	2	118	4.5e-50	168.8	pfam05299	Peptidase_M61	118
2727790669	243	27	81	1	54	1.5e-16	59.4	pfam10411	DsbC_N	54
2727790669	243	109	233	2	109	2.5e-30	105	pfam13098	Thioredoxin_2	109
2727790670	377	127	328	165	346	4.2e-15	55.7	pfam01494	FAD_binding_3	356
2727790671	285	6	121	2	119	1.7e-32	111.7	pfam03476	MOSC_N	120
2727790671	285	144	279	4	131	2.1e-20	73	pfam03473	MOSC	131
2727790672	364	4	145	2	93	1.9e-22	79.3	pfam01926	MMR_HSR1	114
2727790672	364	280	363	1	84	1.9e-38	130.4	pfam06071	YchF-GTPase_C	84
2727790673	452	2	299	10	286	1.1e-18	67.2	pfam07690	MFS_1	353
2727790674	215	6	204	3	215	2.2e-48	164.7	pfam01557	FAA_hydrolase	218
2727790675	332	3	108	1	105	5.9e-23	81.1	pfam02558	ApbA	152
2727790675	332	196	318	1	122	4.8e-24	84.8	pfam08546	ApbA_C	125
2727790676	380	9	380	5	381	4.2e-62	210	pfam00501	AMP-binding	423
2727790677	530	2	183	2	120	5.2e-06	26.4	pfam00293	NUDIX	131
2727790677	530	278	456	5	187	9.8e-17	61.5	pfam00753	Lactamase_B	197
2727790678	495	1	221	53	271	2.3e-25	89.6	pfam00664	ABC_membrane	274
2727790678	495	285	434	1	137	4.4e-30	104.8	pfam00005	ABC_tran	137
2727790679	210	14	144	2	131	2.0e-30	105.2	pfam03412	Peptidase_C39	133
2727790680	357	32	77	4	37	5.7e-07	29.1	pfam13533	Biotin_lipoyl_2	50
2727790680	357	228	350	2	83	1.2e-14	54.7	pfam13437	HlyD_3	106
2727790683	548	186	540	137	205	3.0e-05	23.2	pfam00890	FAD_binding_2	417
2727790684	148	2	140	1	137	4.6e-62	207.6	pfam01220	DHquinase_II	138
2727790686	141	4	134	1	119	3.9e-25	88.1	pfam03928	Haem_degrading	119
2727790687	324	47	321	2	273	1.5e-63	214.3	pfam03401	TctC	274
2727790688	516	5	352	2	354	3.7e-59	200.6	pfam01494	FAD_binding_3	356
2727790689	288	77	284	1	217	1.8e-61	207.5	pfam01557	FAA_hydrolase	218
