gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2727794515	96	36.56	1	93	2	94	5.0e-17	79.4	COG0776	Bacterial nucleoid DNA-binding protein	94
2727794517	155	50.68	1	148	1	148	3.0e-48	184	COG0049	Ribosomal protein S7	148
2727794518	126	74.8	1	123	7	129	1.0e-45	175	COG0048	Ribosomal protein S12	129
2727794520	354	30.34	45	329	5	275	3.0e-47	182	COG0115	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	284
2727794522	183	30.68	7	177	4	177	2.0e-24	105	COG1670	Protein N-acetyltransferase, RimJ/RimL family	187
2727794525	153	27.5	13	126	17	136	2.0e-11	61.8	COG1943	REP element-mobilizing transposase RayT	136
2727794529	114	46.02	1	113	9	118	3.0e-22	96.8	COG0091	Ribosomal protein L22	120
2727794530	89	61.8	1	89	1	88	5.0e-31	125	COG0185	Ribosomal protein S19	93
2727794531	279	54.18	1	274	1	275	4.0e-97	347	COG0090	Ribosomal protein L2	275
2727794532	99	45.36	3	99	1	94	1.0e-17	81	COG0089	Ribosomal protein L23	94
2727794533	211	45	1	197	2	200	3.0e-49	188	COG0088	Ribosomal protein L4	214
2727794534	205	47.85	1	205	1	208	3.0e-59	221	COG0087	Ribosomal protein L3	218
2727794535	101	58.42	1	101	2	102	5.0e-33	132	COG0051	Ribosomal protein S10	104
2727794536	829	19.44	57	446	38	408	2.0e-14	75.2	COG3307	O-antigen ligase	424
2727794537	716	56.7	8	713	11	696	0.0e+00	886	COG0480	Translation elongation factor EF-G, a GTPase	697
2727794538	228	28.21	38	225	13	205	2.0e-21	95.9	COG0545	FKBP-type peptidyl-prolyl cis-trans isomerase	205
2727794539	252	34.95	51	249	1	205	3.0e-33	135	COG0545	FKBP-type peptidyl-prolyl cis-trans isomerase	205
2727794542	595	40.4	13	594	25	608	0.0e+00	534	COG1022	Long-chain acyl-CoA synthetase (AMP-forming)	613
2727794545	411	44.15	2	409	1	404	3.0e-113	402	COG4198	Uncharacterized conserved protein, DUF1015 family	405
2727794547	438	25.57	18	235	1	192	2.0e-22	100	COG0558	Phosphatidylglycerophosphate synthase	192
2727794549	123	18.25	2	123	11	136	4.0e-07	47.2	COG2246	Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose)	139
2727794550	148	30.61	6	145	18	160	2.0e-13	68.4	COG1267	Phosphatidylglycerophosphatase A	160
2727794551	441	23.19	7	399	1	347	2.0e-38	153	COG1260	Myo-inositol-1-phosphate synthase	362
2727794552	198	25.13	1	196	5	201	7.0e-09	54.3	COG1309	DNA-binding transcriptional regulator, AcrR family	201
2727794553	363	38.84	8	363	4	365	1.0e-100	359	COG1932	Phosphoserine aminotransferase	365
2727794554	245	34.17	44	237	6	198	2.0e-27	115	COG2928	Uncharacterized membrane protein	222
