gene_oid	gene_length	feature_type	start_coord	end_coord
2755609745	243	cleavage	21	22
2755609763	324	cleavage	26	27
2755609770	170	cleavage	28	29
2755609774	274	cleavage	25	26
2755609798	327	cleavage	29	30
2755609806	129	cleavage	23	24
2755609807	108	cleavage	23	24
2755609814	187	cleavage	33	34
2755609816	103	cleavage	19	20
2755609829	360	cleavage	29	30
2755609858	257	cleavage	25	26
2755609860	330	cleavage	20	21
2755609871	267	cleavage	27	28
2755609873	497	cleavage	25	26
2755609881	201	cleavage	27	28
2755609896	524	cleavage	20	21
2755609897	426	cleavage	28	29
2755609910	457	cleavage	27	28
2755609912	86	cleavage	19	20
2755609923	310	cleavage	22	23
2755609935	171	cleavage	20	21
2755609948	413	cleavage	25	26
2755609952	410	cleavage	24	25
2755609980	764	cleavage	27	28
2755609981	171	cleavage	26	27
2755610002	377	cleavage	26	27
2755610003	159	cleavage	21	22
2755610004	343	cleavage	22	23
2755610016	134	cleavage	48	49
2755610023	348	cleavage	29	30
2755610026	517	cleavage	19	20
2755610030	387	cleavage	29	30
2755610032	114	cleavage	21	22
2755610047	238	cleavage	28	29
2755610055	340	cleavage	21	22
2755610059	389	cleavage	22	23
2755610063	253	cleavage	37	38
2755610080	612	cleavage	19	20
2755610095	166	cleavage	20	21
2755610109	134	cleavage	27	28
2755610110	153	cleavage	24	25
2755610111	387	cleavage	27	28
2755610118	223	cleavage	23	24
2755610149	419	cleavage	22	23
2755610182	151	cleavage	25	26
2755610187	149	cleavage	19	20
2755610195	250	cleavage	25	26
2755610197	110	cleavage	22	23
2755610208	388	cleavage	21	22
2755610219	299	cleavage	23	24
2755610226	123	cleavage	29	30
2755610227	734	cleavage	23	24
2755610229	117	cleavage	22	23
2755610235	403	cleavage	29	30
2755610237	90	cleavage	22	23
2755610244	179	cleavage	22	23
2755610264	452	cleavage	36	37
2755610272	305	cleavage	23	24
2755610283	500	cleavage	22	23
2755610284	102	cleavage	24	25
2755610295	320	cleavage	26	27
2755610314	107	cleavage	27	28
2755610315	323	cleavage	25	26
2755610329	343	cleavage	30	31
2755610340	246	cleavage	21	22
2755610342	226	cleavage	21	22
2755610387	306	cleavage	26	27
2755610416	659	cleavage	30	31
2755610417	341	cleavage	23	24
2755610433	94	cleavage	19	20
2755610441	255	cleavage	20	21
2755610449	117	cleavage	24	25
2755610450	245	cleavage	21	22
2755610455	167	cleavage	23	24
2755610456	220	cleavage	26	27
2755610458	132	cleavage	29	30
2755610463	284	cleavage	24	25
2755610464	522	cleavage	37	38
2755610465	90	cleavage	21	22
2755610474	302	cleavage	23	24
2755610475	515	cleavage	29	30
2755610488	207	cleavage	21	22
2755610500	385	cleavage	22	23
2755610505	495	cleavage	18	19
2755610521	337	cleavage	25	26
2755610525	144	cleavage	17	18
2755610526	417	cleavage	28	29
2755610534	405	cleavage	31	32
2755610535	301	cleavage	23	24
2755610548	114	cleavage	19	20
2755610566	1067	cleavage	22	23
2755610587	160	cleavage	22	23
2755610588	209	cleavage	24	25
2755610589	214	cleavage	22	23
2755610594	327	cleavage	30	31
2755610600	618	cleavage	27	28
2755610601	214	cleavage	25	26
2755610632	40	cleavage	17	18
2755610636	176	cleavage	22	23
2755610637	164	cleavage	32	33
2755610651	273	cleavage	28	29
2755610652	714	cleavage	43	44
2755610655	321	cleavage	19	20
2755610657	324	cleavage	23	24
2755610663	70	cleavage	19	20
2755610674	356	cleavage	24	25
2755610679	485	cleavage	59	60
2755610681	312	cleavage	36	37
2755610726	192	cleavage	33	34
2755610729	492	cleavage	38	39
2755610731	109	cleavage	22	23
2755610736	342	cleavage	25	26
2755610746	388	cleavage	24	25
2755610750	359	cleavage	21	22
2755610775	434	cleavage	20	21
2755610780	320	cleavage	23	24
2755610793	317	cleavage	22	23
2755610795	473	cleavage	25	26
2755610804	322	cleavage	22	23
2755610812	264	cleavage	27	28
2755610818	236	cleavage	20	21
2755610821	357	cleavage	28	29
2755610830	179	cleavage	31	32
2755610865	870	cleavage	43	44
2755610866	156	cleavage	20	21
2755610884	206	cleavage	27	28
2755610885	576	cleavage	23	24
2755610895	219	cleavage	23	24
