gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2727813499	218	9	183	9	167	4.8e-21	75.2	pfam02630	SCO1-SenC	174
2727813500	319	80	101	1	20	2.5e-02	14.6	pfam07661	MORN_2	22
2727813500	319	104	125	1	22	8.3e-02	13	pfam07661	MORN_2	22
2727813500	319	175	196	1	20	2.6e-02	14.6	pfam07661	MORN_2	22
2727813500	319	247	315	17	77	4.3e-08	33.3	pfam03544	TonB_C	79
2727813501	357	10	327	4	299	3.1e-54	184	pfam00465	Fe-ADH	364
2727813503	333	25	295	1	239	7.6e-65	218.6	pfam02626	CT_A_B	240
2727813504	261	10	243	1	238	1.4e-90	303	pfam03746	LamB_YcsF	239
2727813505	406	52	378	17	355	5.8e-21	74.7	pfam01566	Nramp	358
2727813506	234	1	197	2	186	1.9e-40	138.3	pfam00106	adh_short	195
2727813507	231	6	206	2	178	2.2e-20	73.3	pfam13419	HAD_2	178
2727813509	219	47	216	3	198	1.4e-26	93.2	pfam02666	PS_Dcarbxylase	200
2727813510	457	6	429	47	462	4.4e-86	289.1	pfam00171	Aldedh	462
2727813511	221	67	174	1	107	4.7e-32	109.7	pfam00255	GSHPx	108
2727813512	124	26	110	1	86	1.5e-27	95.9	pfam10990	DUF2809	86
2727813514	247	1	175	3	167	6.2e-40	136.8	pfam13614	AAA_31	177
2727813515	243	58	241	83	171	1.3e-07	31.4	pfam00756	Esterase	251
2727813517	131	9	116	1	117	9.8e-22	77.5	pfam03203	MerC	117
2727813518	482	103	389	4	163	1.3e-07	31.4	pfam01546	Peptidase_M20	207
2727813518	482	209	308	8	102	7.3e-10	38.6	pfam07687	M20_dimer	109
2727813519	507	56	139	1	76	2.6e-12	46.4	pfam01336	tRNA_anti-codon	76
2727813519	507	163	501	2	313	2.6e-80	269.7	pfam00152	tRNA-synt_2	314
2727813520	701	4	141	1	143	7.7e-24	84.1	pfam13623	SurA_N_2	145
2727813520	701	327	448	1	115	5.7e-23	81.5	pfam13616	Rotamase_3	116
2727813521	335	28	326	2	299	1.1e-119	399	pfam02445	NadA	299
2727813524	398	41	145	70	120	1.4e-08	34.6	pfam13091	PLDc_2	133
2727813525	196	31	120	2	80	9.0e-07	28.7	pfam00027	cNMP_binding	88
2727813526	182	40	113	11	65	1.4e-14	53.7	pfam02627	CMD	85
2727813528	512	46	397	1	327	1.1e-63	215.4	pfam00144	Beta-lactamase	330
2727813530	185	9	77	1	69	1.0e-16	60.3	pfam04542	Sigma70_r2	71
2727813530	185	122	174	5	54	8.2e-10	38.1	pfam08281	Sigma70_r4_2	54
2727813531	1045	278	456	256	328	3.9e-07	29.6	pfam01979	Amidohydro_1	344
2727813531	1045	867	978	238	324	3.3e-13	49.6	pfam01979	Amidohydro_1	344
2727813532	453	125	433	249	342	1.2e-11	44.4	pfam01979	Amidohydro_1	344
2727813534	799	23	192	1	147	1.6e-06	28.1	pfam06452	CBM9_1	185
2727813535	945	4	172	1	158	5.1e-49	166.1	pfam02739	5_3_exonuc_N	159
2727813535	945	175	269	4	96	5.9e-32	110	pfam01367	5_3_exonuc	97
2727813535	945	349	530	3	174	1.7e-33	115.7	pfam01612	DNA_pol_A_exo1	175
2727813535	945	561	943	4	375	0.0e+00	497.8	pfam00476	DNA_pol_A	376
2727813536	129	4	121	1	118	2.5e-41	140.6	pfam13366	PDDEXK_3	118
2727813537	206	19	116	2	83	8.0e-17	61.4	pfam08818	DUF1801	84
2727813537	206	134	193	2	60	1.1e-18	66.9	pfam13376	OmdA	60
2727813538	88	1	87	79	165	2.3e-33	115.3	pfam10652	DUF2480	165
2727813539	247	1	244	166	393	1.7e-76	257.5	pfam06245	DUF1015	394
2727813541	93	7	93	2	73	2.1e-17	63	pfam13239	2TM	76
2727813542	596	10	465	2	422	1.2e-88	297.5	pfam00501	AMP-binding	423
2727813543	264	10	243	3	233	6.2e-90	300.4	pfam05985	EutC	233
2727813544	460	12	448	1	432	0.0e+00	728.3	pfam06751	EutB	435
2727813545	438	12	426	5	416	1.2e-39	136.2	pfam13520	AA_permease_2	425
2727813546	485	44	166	3	119	1.5e-19	70.9	pfam01408	GFO_IDH_MocA	120
2727813547	263	17	139	5	117	1.4e-11	44.3	pfam03099	BPL_LplA_LipB	131
2727813548	133	26	124	2	91	8.9e-26	90	pfam02410	RsfS	91
2727813549	695	253	386	2	131	1.8e-43	148	pfam00004	AAA	132
2727813549	695	446	649	2	211	1.9e-77	259.5	pfam01434	Peptidase_M41	211
2727813550	211	45	209	78	189	8.9e-24	84.1	pfam02589	LUD_dom	189
2727813551	251	8	214	3	203	7.2e-06	26.5	pfam00149	Metallophos	204
2727813552	363	148	351	3	205	2.2e-39	135	pfam00924	MS_channel	206
2727813553	170	61	167	17	90	3.1e-08	33.4	pfam00085	Thioredoxin	104
2727813554	180	80	150	1	68	6.6e-19	67.7	pfam13411	MerR_1	69
2727813555	282	6	184	1	179	6.4e-58	195.5	pfam02737	3HCDH_N	180
2727813555	282	186	282	1	97	1.2e-28	99.5	pfam00725	3HCDH	97
2727813556	590	46	582	1	532	0.0e+00	532.1	pfam05960	DUF885	532
2727813557	375	21	174	45	164	1.4e-08	34.8	pfam13439	Glyco_transf_4	170
2727813557	375	185	352	13	170	6.4e-30	103.8	pfam00534	Glycos_transf_1	172
2727813559	150	4	148	2	143	2.0e-46	157.5	pfam09424	YqeY	143
2727813560	178	3	149	1	140	9.6e-19	67.6	pfam02674	Colicin_V	144
2727813561	251	56	237	55	237	4.7e-11	42.3	pfam12146	Hydrolase_4	239
2727813562	220	4	59	2	55	7.0e-07	29.5	pfam00571	CBS	57
2727813563	480	46	122	2	80	9.9e-06	25.9	pfam07244	POTRA	80
2727813564	292	53	271	73	270	1.3e-43	149.2	pfam01513	NAD_kinase	292
2727813565	257	4	236	2	202	7.5e-72	241.2	pfam02682	CT_C_D	202
2727813567	789	74	345	62	318	1.9e-53	181.8	pfam00933	Glyco_hydro_3	319
2727813567	789	378	629	1	198	1.8e-42	145.4	pfam01915	Glyco_hydro_3_C	198
2727813567	789	684	755	1	70	3.0e-21	75.2	pfam14310	Fn3-like	71
2727813568	280	76	280	2	207	1.7e-63	213.8	pfam00889	EF_TS	208
