gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2727816658	370	5	370	2	368	3.9e-88	296.2	pfam00873	ACR_tran	1021
2727816662	246	4	63	1	57	1.8e-11	44.2	pfam00403	HMA	62
2727816663	175	82	161	2	80	1.7e-14	53.7	pfam12833	HTH_18	81
2727816665	189	31	171	55	117	8.1e-10	38.8	pfam00583	Acetyltransf_1	117
2727816666	326	267	323	2	55	4.8e-13	48.3	pfam00196	GerE	57
2727816668	77	14	77	1	64	9.2e-18	64	pfam12844	HTH_19	65
2727816670	106	13	104	3	93	1.1e-36	124.8	pfam13572	DUF4134	93
2727816672	1834	939	1311	52	246	9.7e-07	27.7	pfam00176	SNF2_N	350
2727816672	1834	1315	1480	12	111	1.8e-07	31.4	pfam00271	Helicase_C	111
2727816673	111	8	98	1	90	2.3e-36	123.8	pfam13571	DUF4133	91
2727816674	405	1	49	6	52	5.6e-18	64.5	pfam12991	DUF3875	53
2727816675	505	3	152	3	146	3.9e-28	98.2	pfam00239	Resolvase	146
2727816675	505	176	264	3	102	1.3e-08	35	pfam07508	Recombinase	104
2727816680	254	22	108	1	79	1.6e-24	86.4	pfam13595	DUF4138	247
2727816680	254	102	250	103	244	1.9e-45	155	pfam13595	DUF4138	247
2727816681	425	209	413	25	194	5.4e-46	156.6	pfam12508	Transposon_TraM	194
2727816684	1164	21	280	33	212	1.0e-19	70.8	pfam00069	Pkinase	264
2727816684	1164	605	888	2	260	2.1e-43	148.8	pfam13086	AAA_11	262
2727816684	1164	914	1119	4	199	2.7e-38	131.5	pfam13087	AAA_12	200
2727816687	318	38	310	3	237	3.0e-30	105.8	pfam08843	AbiEii	239
2727816688	397	302	364	1	65	3.2e-23	82	pfam07863	CtnDOT_TraJ	66
2727816690	92	1	92	336	425	4.9e-27	93.9	pfam00873	ACR_tran	1021
2727816691	641	6	624	419	1020	3.5e-127	425.4	pfam00873	ACR_tran	1021
2727816692	417	26	212	1	188	1.9e-17	63.5	pfam02321	OEP	188
2727816692	417	237	415	9	187	3.0e-05	23.8	pfam02321	OEP	188
2727816693	454	140	274	5	132	2.1e-29	102.2	pfam16576	HlyD_D23	214
2727816693	454	271	370	120	205	7.3e-16	57.9	pfam16576	HlyD_D23	214
