Gene	Transcript	FDR	P-Value	Number of species included	Number of Sites under positive Selection	Jalview protein alignment	Protein Alignment (interleaved)
2727791807	2727791807	8.828326e-12	9.659e-15	8	80	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791807/Limnohabitans_MAG/2727791807_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791696	2727791696	3.342955e-09	7.315e-12	9	50	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791696/Limnohabitans_MAG/2727791696_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791060	2727791060	4.672825e-07	1.919e-09	9	46	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791060/Limnohabitans_MAG/2727791060_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792390	2727792390	4.672825e-07	2.045e-09	9	53	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792390/Limnohabitans_MAG/2727792390_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793320	2727793320	5.445612e-07	2.979e-09	9	97	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793320/Limnohabitans_MAG/2727793320_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792732	2727792732	5.81608666666667e-07	3.818e-09	9	39	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792732/Limnohabitans_MAG/2727792732_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793877	2727793877	7.39948285714286e-07	5.667e-09	8	46	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793877/Limnohabitans_MAG/2727793877_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794010	2727794010	1.06492425e-06	9.321e-09	9	42	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794010/Limnohabitans_MAG/2727794010_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792853	2727792853	1.14757777777778e-06	1.130e-08	9	41	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792853/Limnohabitans_MAG/2727792853_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791108	2727791108	2.103114e-06	2.301e-08	9	59	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791108/Limnohabitans_MAG/2727791108_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792455	2727792455	2.33402363636364e-06	2.809e-08	9	43	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792455/Limnohabitans_MAG/2727792455_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792011	2727792011	2.524925e-06	3.315e-08	9	26	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792011/Limnohabitans_MAG/2727792011_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792505	2727792505	4.52289384615385e-06	6.433e-08	9	38	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792505/Limnohabitans_MAG/2727792505_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791064	2727791064	4.81612714285714e-06	7.377e-08	9	27	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791064/Limnohabitans_MAG/2727791064_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792514	2727792514	4.99836133333333e-06	8.203e-08	9	47	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792514/Limnohabitans_MAG/2727792514_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791984	2727791984	5.14410625e-06	9.005e-08	8	41	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791984/Limnohabitans_MAG/2727791984_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791342	2727791342	6.09691764705882e-06	1.134e-07	9	79	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791342/Limnohabitans_MAG/2727791342_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792340	2727792340	9.7316947368421e-06	1.931e-07	9	16	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792340/Limnohabitans_MAG/2727792340_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793059	2727793059	9.7316947368421e-06	2.023e-07	9	52	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793059/Limnohabitans_MAG/2727793059_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793556	2727793556	1.48982e-05	3.260e-07	9	59	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793556/Limnohabitans_MAG/2727793556_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791401	2727791401	1.69713181818182e-05	3.943e-07	9	54	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791401/Limnohabitans_MAG/2727791401_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794451	2727794451	1.69713181818182e-05	4.085e-07	8	49	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794451/Limnohabitans_MAG/2727794451_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792721	2727792721	1.70441130434783e-05	4.289e-07	9	21	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792721/Limnohabitans_MAG/2727792721_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794167	2727794167	1.94643916666667e-05	5.111e-07	9	39	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794167/Limnohabitans_MAG/2727794167_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
