Query	Subject	E-value	Start	End	Start_Query	End_Query	Covered_fraction
2727794586	CBM44.hmm	4.7e-08	18	61	335	380		0.671875
2727794586	CBM44.hmm	0.00094	12	60	415	465		0.75
2727794599	CE1.hmm	2.6e-37	2	223	144	373		0.973568281938326
2727794618	GT35.hmm	1.7e-69	210	583	177	503		0.553412462908012
2727794627	GH105.hmm	5.7e-119	9	332	46	387		0.97289156626506
2727794628	CE12.hmm	3.3e-80	1	210	26	235		0.995238095238095
2727794628	GH28.hmm	8.2e-82	6	316	296	705		0.953846153846154
2727794636	GH13_4.hmm	2.8e-175	2	398	106	504		0.994974874371859
2727794644	GH65.hmm	2.9e-102	3	370	309	644		0.986559139784946
2727794657	CE1.hmm	1.2e-06	28	133	69	168		0.462555066079295
2727794660	CBM9.hmm	1.9e-15	1	166	42	212		0.906593406593407
2727794695	GH109.hmm	4.4e-15	1	125	4	117		0.984126984126984
2727794716	GH109.hmm	2.5e-12	2	119	44	158		0.928571428571429
2727794719	GH31.hmm	3.2e-83	2	427	197	626		0.995316159250585
2727794720	PL5.hmm	8.6e-11	122	252	172	303		0.410094637223975
2727794789	CBM44.hmm	0.00026	7	64	160	216		0.890625
2727794808	CE12.hmm	2.3e-14	64	206	86	217		0.676190476190476
2727794809	CE6.hmm	6e-28	1	98	83	181		0.97979797979798
2727794850	GH109.hmm	1.6e-20	1	120	47	158		0.944444444444444
2727794852	GH30.hmm	2e-142	8	416	65	481		0.97841726618705
2727794854	GH97.hmm	3.4e-141	12	630	25	618		0.979397781299525
2727794855	GH88.hmm	4.4e-129	3	329	70	394		0.990881458966565
2727794863	CBM66.hmm	5.8e-09	3	146	35	200		0.92258064516129
2727794864	GH109.hmm	5.9e-13	1	113	41	153		0.888888888888889
2727794869	GH109.hmm	1.9e-10	1	124	44	179		0.976190476190476
2727794874	CE6.hmm	0.0009	3	49	172	216		0.464646464646465
2727794874	CE6.hmm	0.00016	63	96	422	453		0.333333333333333
2727794875	CBM67.hmm	6e-41	2	169	136	314		0.948863636363636
2727794875	GH78.hmm	2.4e-191	1	504	339	857		0.998015873015873
2727794876	GH5_13.hmm	7.2e-119	1	275	52	309		0.996363636363636
2727794877	CBM67.hmm	4.3e-49	1	171	33	212		0.965909090909091
2727794877	GH78.hmm	1.7e-123	8	501	271	768		0.978174603174603
2727794878	CE3.hmm	1e-16	51	185	65	206		0.690721649484536
2727794878	GH20.hmm	5.2e-57	9	335	341	610		0.967359050445104
2727794879	CE6.hmm	5.4e-08	3	79	190	309		0.767676767676768
2727794887	GH33.hmm	5.6e-87	8	338	25	383		0.964912280701754
2727794898	GH3.hmm	9.7e-50	4	213	178	418		0.967592592592593
2727794899	PL12.hmm	1.3e-11	8	137	428	556		0.934782608695652
2727794900	GH16.hmm	3.1e-48	2	189	36	278		0.989417989417989
2727794914	CBM40.hmm	0.00075	93	174	443	515		0.452513966480447
2727794933	CBM36.hmm	0.00072	7	48	159	203		0.356521739130435
2727794938	CE14.hmm	9e-09	2	113	355	509		0.895161290322581
2727794939	GH20.hmm	1.4e-131	7	336	143	507		0.976261127596439
2727794965	CE10.hmm	1.7e-27	79	330	58	283		0.736070381231672
2727794973	CE1.hmm	1.2e-27	7	208	37	239		0.885462555066079
2727794975	GH127.hmm	4.2e-95	284	524	2	258		0.458015267175573
2727794993	GT2.hmm	4.3e-18	1	100	6	96		0.589285714285714
2727795023	GT2.hmm	1.2e-27	1	168	8	170		0.994047619047619
2727795090	GH3.hmm	3e-59	6	215	102	326		0.967592592592593
2727795132	GH74.hmm	4.5e-16	44	145	114	221		0.433476394849785
2727795132	GH74.hmm	5.5e-16	41	115	221	298		0.317596566523605
2727795132	GH74.hmm	1.1e-07	46	119	323	391		0.313304721030043
2727795132	GH74.hmm	2.2e-09	48	127	622	697		0.339055793991416
2727795138	GT2.hmm	8.6e-18	1	114	64	204		0.672619047619048
2727795153	CE9.hmm	2.6e-101	4	373	8	362		0.989276139410188
2727795158	GT2.hmm	3.8e-23	1	121	10	128		0.714285714285714
2727795164	GT51.hmm	8.5e-50	7	177	12	190		0.96045197740113
2727795242	CE4.hmm	5.2e-22	8	112	25	144		0.8
2727795243	CE6.hmm	0.0008	5	39	174	206		0.343434343434343
2727795243	CE6.hmm	0.00014	63	97	426	458		0.343434343434343
2727795279	GT2.hmm	5.7e-19	3	124	55	176		0.720238095238095
2727795289	PL22.hmm	4.6e-06	77	199	169	278		0.460377358490566
2727795302	GH18.hmm	8.7e-68	5	282	26	346		0.935810810810811
2727795310	GH92.hmm	3.5e-177	4	491	225	701		0.991853360488798
2727795313	GH5_19.hmm	4.9e-06	17	196	18	208		0.646209386281588
2727795319	GT51.hmm	7.7e-60	1	177	55	233		0.994350282485876
2727795335	GT28.hmm	5.3e-13	18	131	249	359		0.719745222929936
2727795341	GH74.hmm	1.1e-07	42	113	386	453		0.304721030042918
2727795342	GH74.hmm	5.8e-13	41	113	78	156		0.309012875536481
2727795342	GH74.hmm	4.1e-15	48	142	139	239		0.40343347639485
2727795359	GT5.hmm	7.1e-46	1	212	6	228		0.447033898305085
2727795418	GH1.hmm	3.4e-145	3	425	9	449		0.983682983682984
2727795421	GH37.hmm	1.2e-172	1	489	22	496		0.993890020366599
2727795425	CE1.hmm	1e-11	10	211	558	783		0.885462555066079
2727795426	GH16.hmm	3.7e-55	2	189	28	258		0.989417989417989
2727795431	AA12.hmm	5e-32	13	399	52	432		0.962593516209476
2727795476	GH73.hmm	9.3e-34	3	128	32	160		0.9765625
2727795476	CBM50.hmm	1.2e-07	1	38	306	347		0.925
2727795598	CBM44.hmm	4.5e-05	19	63	645	690		0.6875
2727795598	CBM44.hmm	0.00068	2	62	716	777		0.9375
