gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2755613823	218	35	202	ProSiteProfiles	PS51352	IPR012336	Thioredoxin-like fold	
2755613823	218	40	203	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
2755613824	319	77	141	SUPERFAMILY	SSF82185			
2755613824	319	152	203	SUPERFAMILY	SSF82185			
2755613824	319	254	314	SUPERFAMILY	SSF74653			
2755613825	357	3	327	SUPERFAMILY	SSF56796			
2755613826	797	569	743	SUPERFAMILY	SSF56935			
2755613827	333	187	301	SUPERFAMILY	SSF50891	IPR002130	Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain	GO:0003755|GO:0006457
2755613827	333	24	311	SMART	SM00797	IPR003778	Allophanate hydrolase subunit 2	
2755613828	261	9	250	SUPERFAMILY	SSF88713	IPR011330	Glycoside hydrolase/deacetylase, beta/alpha-barrel	GO:0003824|GO:0005975
2755613830	234	139	167	ProSitePatterns	PS00061	IPR020904	Short-chain dehydrogenase/reductase, conserved site	GO:0016491
2755613830	234	2	213	SUPERFAMILY	SSF51735			
2755613831	231	3	231	SUPERFAMILY	SSF56784	IPR023214	HAD-like domain	
2755613834	457	211	218	ProSitePatterns	PS00687	IPR016160	Aldehyde dehydrogenase, conserved site	GO:0008152|GO:0016491|GO:0055114
2755613834	457	239	250	ProSitePatterns	PS00070	IPR016160	Aldehyde dehydrogenase, conserved site	GO:0008152|GO:0016491|GO:0055114
2755613834	457	8	441	SUPERFAMILY	SSF53720	IPR016161	Aldehyde/histidinol dehydrogenase	GO:0008152|GO:0016491|GO:0055114
2755613835	221	57	221	ProSiteProfiles	PS51355	IPR000889	Glutathione peroxidase	GO:0004602|GO:0006979|GO:0055114
2755613835	221	87	102	ProSitePatterns	PS00460	IPR000889	Glutathione peroxidase	GO:0004602|GO:0006979|GO:0055114
2755613835	221	66	213	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
2755613838	247	1	243	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2755613839	243	7	239	SUPERFAMILY	SSF53474			
2755613840	258	28	110	SUPERFAMILY	SSF49464	IPR008969	Carboxypeptidase-like, regulatory domain	
2755613842	482	214	318	SUPERFAMILY	SSF55031	IPR011650	Peptidase M20, dimerisation domain	
2755613842	482	35	224	SUPERFAMILY	SSF53187			
2755613842	482	323	352	SUPERFAMILY	SSF53187			
2755613842	482	384	448	SUPERFAMILY	SSF53187			
2755613843	507	188	502	ProSiteProfiles	PS50862	IPR006195	Aminoacyl-tRNA synthetase, class II	GO:0004812|GO:0006418
2755613843	507	4	147	SUPERFAMILY	SSF50249	IPR012340	Nucleic acid-binding, OB-fold	
2755613843	507	163	501	SUPERFAMILY	SSF55681			
2755613844	701	339	446	ProSiteProfiles	PS50198	IPR000297	Peptidyl-prolyl cis-trans isomerase, PpiC-type	GO:0016853
2755613844	701	47	162	SUPERFAMILY	SSF109998	IPR027304	Trigger factor/SurA domain	
2755613844	701	213	258	SUPERFAMILY	SSF109998	IPR027304	Trigger factor/SurA domain	
2755613844	701	338	447	SUPERFAMILY	SSF54534			
2755613845	335	25	326	SUPERFAMILY	SSF142754			
2755613846	114	7	113	SUPERFAMILY	SSF54427			
2755613848	398	80	111	ProSiteProfiles	PS50035	IPR001736	Phospholipase D/Transphosphatidylase	GO:0003824|GO:0008152
2755613848	398	72	125	SUPERFAMILY	SSF56024			
2755613849	196	16	143	SUPERFAMILY	SSF51206	IPR018490	Cyclic nucleotide-binding-like	
2755613850	182	7	178	SUPERFAMILY	SSF69118			
2755613852	512	45	395	SUPERFAMILY	SSF56601	IPR012338	Beta-lactamase/transpeptidase-like	
2755613854	185	119	180	SUPERFAMILY	SSF88659	IPR013324	RNA polymerase sigma factor, region 3/4	GO:0003677|GO:0003700|GO:0006352|GO:0006355|GO:0016987
2755613854	185	8	84	SUPERFAMILY	SSF88946	IPR013325	RNA polymerase sigma factor, region 2	GO:0003677|GO:0003700|GO:0006352|GO:0006355|GO:0016987
2755613855	1045	21	89	SUPERFAMILY	SSF51338	IPR011059	Metal-dependent hydrolase, composite domain	GO:0016810
2755613855	1045	398	429	SUPERFAMILY	SSF51338	IPR011059	Metal-dependent hydrolase, composite domain	GO:0016810
2755613855	1045	595	654	SUPERFAMILY	SSF51338	IPR011059	Metal-dependent hydrolase, composite domain	GO:0016810
2755613855	1045	937	974	SUPERFAMILY	SSF51338	IPR011059	Metal-dependent hydrolase, composite domain	GO:0016810
2755613855	1045	654	938	SUPERFAMILY	SSF51556			
2755613856	453	33	87	SUPERFAMILY	SSF51338	IPR011059	Metal-dependent hydrolase, composite domain	GO:0016810
2755613856	453	398	433	SUPERFAMILY	SSF51338	IPR011059	Metal-dependent hydrolase, composite domain	GO:0016810
2755613856	453	114	399	SUPERFAMILY	SSF51556			
2755613858	799	12	196	SUPERFAMILY	SSF49344			
2755613859	945	700	907	SMART	SM00482	IPR001098	DNA-directed DNA polymerase, family A, palm domain	GO:0003677|GO:0003887|GO:0006260
2755613859	945	3	264	SMART	SM00475	IPR002421	5'-3' exonuclease, N-terminal	GO:0003677
2755613859	945	349	530	SMART	SM00474	IPR002562	3'-5' exonuclease domain	GO:0003676|GO:0006139|GO:0008408
2755613859	945	176	211	SMART	SM00279	IPR008918	Helix-hairpin-helix motif, class 2	GO:0003677|GO:0003824
2755613859	945	352	531	SUPERFAMILY	SSF53098	IPR012337	Ribonuclease H-like domain	GO:0003676
2755613859	945	769	788	ProSitePatterns	PS00447	IPR019760	DNA-directed DNA polymerase, family A, conserved site	GO:0003887|GO:0006260
2755613859	945	176	286	SUPERFAMILY	SSF47807	IPR020045	5'-3' exonuclease, C-terminal domain	GO:0003677|GO:0003824
2755613859	945	3	152	SUPERFAMILY	SSF88723			
2755613859	945	535	945	SUPERFAMILY	SSF56672			
2755613861	206	7	124	SUPERFAMILY	SSF159888			
2755613864	336	23	158	ProSiteProfiles	PS50293	IPR013026	Tetratricopeptide repeat-containing domain	GO:0005515
2755613864	336	23	56	ProSiteProfiles	PS50005	IPR019734	Tetratricopeptide repeat	GO:0005515
2755613864	336	23	56	SMART	SM00028	IPR019734	Tetratricopeptide repeat	GO:0005515
2755613864	336	91	124	ProSiteProfiles	PS50005	IPR019734	Tetratricopeptide repeat	GO:0005515
2755613864	336	91	124	SMART	SM00028	IPR019734	Tetratricopeptide repeat	GO:0005515
2755613864	336	125	158	ProSiteProfiles	PS50005	IPR019734	Tetratricopeptide repeat	GO:0005515
2755613864	336	125	158	SMART	SM00028	IPR019734	Tetratricopeptide repeat	GO:0005515
2755613864	336	20	184	SUPERFAMILY	SSF48452			
2755613866	596	182	193	ProSitePatterns	PS00455	IPR020845	AMP-binding, conserved site	
2755613866	596	6	286	SUPERFAMILY	SSF56801			
2755613866	596	333	593	SUPERFAMILY	SSF56801			
2755613870	485	37	197	SUPERFAMILY	SSF51735			
2755613870	485	173	400	SUPERFAMILY	SSF55347			
2755613871	263	8	209	SUPERFAMILY	SSF55681			
2755613872	133	23	130	SUPERFAMILY	SSF81301			
2755613873	695	249	388	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2755613873	695	356	374	ProSitePatterns	PS00674	IPR003960	ATPase, AAA-type, conserved site	GO:0005524
2755613873	695	212	457	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2755613873	695	467	657	SUPERFAMILY	SSF140990			
2755613874	211	40	210	SUPERFAMILY	SSF100950			
2755613875	251	10	137	SUPERFAMILY	SSF56300			
2755613875	251	189	236	SUPERFAMILY	SSF56300			
2755613876	363	193	258	SUPERFAMILY	SSF50182	IPR010920	Like-Sm (LSM) domain	
2755613876	363	105	190	SUPERFAMILY	SSF82861	IPR011014	Mechanosensitive ion channel MscS, transmembrane-2	GO:0016020
2755613877	170	57	170	ProSiteProfiles	PS51352	IPR012336	Thioredoxin-like fold	
2755613877	170	60	153	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
2755613877	170	1	16	ProSiteProfiles	PS51257			
2755613878	180	79	149	ProSiteProfiles	PS50937	IPR000551	MerR-type HTH domain	GO:0003677|GO:0006355
2755613878	180	80	150	SMART	SM00422	IPR000551	MerR-type HTH domain	GO:0003677|GO:0006355
2755613878	180	80	173	SUPERFAMILY	SSF46955	IPR009061	DNA binding domain, putative	
2755613879	282	185	282	SUPERFAMILY	SSF48179	IPR008927	6-phosphogluconate dehydrogenase, C-terminal-like	GO:0055114
2755613879	282	1	185	SUPERFAMILY	SSF51735			
2755613881	375	14	367	SUPERFAMILY	SSF53756			
2755613883	150	1	149	SUPERFAMILY	SSF89095	IPR003789	Aspartyl/glutamyl-tRNA amidotransferase subunit B-related	GO:0016884
2755613885	251	11	250	SUPERFAMILY	SSF53474			
2755613886	220	8	65	ProSiteProfiles	PS51371	IPR000644	CBS domain	GO:0030554
2755613886	220	67	125	ProSiteProfiles	PS51371	IPR000644	CBS domain	GO:0030554
2755613886	220	4	117	SUPERFAMILY	SSF54631			
2755613888	292	2	289	SUPERFAMILY	SSF111331	IPR016064	ATP-NAD kinase-like domain	GO:0003951|GO:0008152
2755613889	257	122	252	SUPERFAMILY	SSF50891	IPR002130	Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain	GO:0003755|GO:0006457
2755613889	257	4	236	SMART	SM00796	IPR003833	Allophanate hydrolase subunit 1	
2755613889	257	5	80	SUPERFAMILY	SSF160467			
2755613889	257	118	127	SUPERFAMILY	SSF160467			
2755613890	187	16	140	SUPERFAMILY	SSF51206	IPR018490	Cyclic nucleotide-binding-like	
2755613891	789	378	445	SUPERFAMILY	SSF52279	IPR002772	Glycoside hydrolase family 3 C-terminal domain	GO:0004553|GO:0005975
2755613891	789	476	592	SUPERFAMILY	SSF52279	IPR002772	Glycoside hydrolase family 3 C-terminal domain	GO:0004553|GO:0005975
2755613891	789	630	652	SUPERFAMILY	SSF52279	IPR002772	Glycoside hydrolase family 3 C-terminal domain	GO:0004553|GO:0005975
2755613891	789	22	377	SUPERFAMILY	SSF51445	IPR017853	Glycoside hydrolase, superfamily	
2755613891	789	278	295	ProSitePatterns	PS00775	IPR019800	Glycoside hydrolase, family 3, active site	GO:0004553|GO:0005975
2755613892	280	6	58	SUPERFAMILY	SSF46934	IPR009060	UBA-like	GO:0005515
2755613892	280	60	150	SUPERFAMILY	SSF54713	IPR014039	Translation elongation factor EFTs/EF1B, dimerisation	GO:0003746|GO:0005622|GO:0006414
2755613892	280	153	280	SUPERFAMILY	SSF54713	IPR014039	Translation elongation factor EFTs/EF1B, dimerisation	GO:0003746|GO:0005622|GO:0006414
2755613893	295	9	237	SUPERFAMILY	SSF52313	IPR023591	Ribosomal protein S2, flavodoxin-like domain	
2755613894	129	6	129	SUPERFAMILY	SSF54211	IPR020568	Ribosomal protein S5 domain 2-type fold	
2755613894	129	68	86	ProSitePatterns	PS00360	IPR020574	Ribosomal protein S9, conserved site	GO:0003735|GO:0005840|GO:0006412
2755613895	147	110	132	ProSitePatterns	PS00783	IPR023563	Ribosomal protein L13, conserved site	GO:0003735|GO:0005840|GO:0006412
2755613895	147	11	145	SUPERFAMILY	SSF52161	IPR023564	Ribosomal protein L13 domain	GO:0003735|GO:0005840|GO:0006412
2755613896	401	54	364	SUPERFAMILY	SSF51556			
2755613898	246	1	83	SUPERFAMILY	SSF50249	IPR012340	Nucleic acid-binding, OB-fold	
2755613898	246	86	230	SUPERFAMILY	SSF57863			
2755613899	342	110	314	ProSiteProfiles	PS50862	IPR006195	Aminoacyl-tRNA synthetase, class II	GO:0004812|GO:0006418
2755613899	342	17	96	SUPERFAMILY	SSF46589	IPR010978	tRNA-binding arm	GO:0000166
2755613899	342	89	338	SUPERFAMILY	SSF55681			
2755613901	434	1	433	SUPERFAMILY	SSF55205	IPR013792	RNA 3'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta	GO:0003824
2755613903	501	225	492	ProSiteProfiles	PS51383	IPR000631	YjeF C-terminal domain, carbohydrate kinase-related	
2755613903	501	1	247	SUPERFAMILY	SSF64153	IPR004443	YjeF N-terminal domain	
2755613903	501	9	215	ProSiteProfiles	PS51385	IPR004443	YjeF N-terminal domain	
2755613903	501	223	489	SUPERFAMILY	SSF53613			
2755613904	284	229	252	ProSitePatterns	PS00373	IPR001555	Phosphoribosylglycinamide formyltransferase, active site	GO:0008168
2755613904	284	99	282	SUPERFAMILY	SSF53328	IPR002376	Formyl transferase, N-terminal	GO:0009058|GO:0016742
2755613904	284	1	30	ProSiteProfiles	PS51257			
2755613905	417	11	121	SUPERFAMILY	SSF46626	IPR009056	Cytochrome c-like domain	GO:0009055|GO:0020037
2755613905	417	27	122	ProSiteProfiles	PS51007	IPR009056	Cytochrome c-like domain	GO:0009055|GO:0020037
2755613905	417	35	49	ProSiteProfiles	PS51008	IPR011031	Multihaem cytochrome	
2755613905	417	235	373	ProSiteProfiles	PS51008	IPR011031	Multihaem cytochrome	
2755613905	417	203	417	SUPERFAMILY	SSF48695			
2755613906	1035	1	73	ProSiteProfiles	PS51318	IPR006311	Twin-arginine translocation pathway, signal sequence	
2755613906	1035	769	799	ProSiteProfiles	PS51379	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain	GO:0051536
2755613906	1035	824	855	ProSiteProfiles	PS51379	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain	GO:0051536
2755613906	1035	856	885	ProSiteProfiles	PS51379	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain	GO:0051536
2755613906	1035	92	485	SUPERFAMILY	SSF53706			
2755613906	1035	768	884	SUPERFAMILY	SSF54862			
2755613906	1035	925	1010	SUPERFAMILY	SSF54862			
2755613909	213	105	202	SUPERFAMILY	SSF46626	IPR009056	Cytochrome c-like domain	GO:0009055|GO:0020037
2755613909	213	110	200	ProSiteProfiles	PS51007	IPR009056	Cytochrome c-like domain	GO:0009055|GO:0020037
2755613909	213	1	19	ProSiteProfiles	PS51257			
2755613911	354	162	325	ProSiteProfiles	PS50857	IPR002429	Cytochrome c oxidase subunit II C-terminal	GO:0004129|GO:0005507|GO:0016020
2755613911	354	161	328	SUPERFAMILY	SSF49503	IPR008972	Cupredoxin	
2755613911	354	65	160	ProSiteProfiles	PS50999	IPR011759	Cytochrome C oxidase subunit II, transmembrane domain	GO:0016021|GO:0022900
2755613911	354	71	154	SUPERFAMILY	SSF81464	IPR011759	Cytochrome C oxidase subunit II, transmembrane domain	GO:0016021|GO:0022900
2755613912	607	298	352	ProSitePatterns	PS00077	IPR023615	Cytochrome c oxidase, subunit I, copper-binding site	GO:0004129|GO:0055114
2755613912	607	33	577	SUPERFAMILY	SSF81442	IPR023616	Cytochrome c oxidase, subunit I domain	GO:0004129|GO:0055114
2755613912	607	34	598	ProSiteProfiles	PS50855	IPR023616	Cytochrome c oxidase, subunit I domain	GO:0004129|GO:0055114
2755613913	298	68	90	ProSitePatterns	PS00943	IPR000537	UbiA prenyltransferase family	GO:0004659|GO:0016021
2755613913	298	1	33	ProSiteProfiles	PS51257			
2755613914	191	1	191	ProSiteProfiles	PS50253	IPR000298	Cytochrome c oxidase, subunit III	GO:0015002|GO:0016020
2755613914	191	11	190	SUPERFAMILY	SSF81452	IPR000298	Cytochrome c oxidase, subunit III	GO:0015002|GO:0016020
2755613915	227	1	227	ProSiteProfiles	PS50253	IPR000298	Cytochrome c oxidase, subunit III	GO:0015002|GO:0016020
2755613915	227	12	226	SUPERFAMILY	SSF81452	IPR000298	Cytochrome c oxidase, subunit III	GO:0015002|GO:0016020
2755613917	272	60	209	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
2755613920	127	22	104	SUPERFAMILY	SSF46767	IPR014048	Methylated-DNA-[protein]-cysteine S-methyltransferase, DNA binding	GO:0003824|GO:0006281
2755613922	234	28	179	SUPERFAMILY	SSF53335			
2755613923	459	253	394	SUPERFAMILY	SSF53335			
2755613924	444	167	404	SUPERFAMILY	SSF53649	IPR017850	Alkaline-phosphatase-like, core domain	GO:0003824|GO:0008152
2755613925	155	7	68	ProSiteProfiles	PS50956	IPR000485	AsnC-type HTH domain	GO:0006355|GO:0043565
2755613925	155	68	149	SUPERFAMILY	SSF54909	IPR011008	Dimeric alpha-beta barrel	
2755613925	155	7	114	SMART	SM00344	IPR019888	Transcription regulator AsnC-type	GO:0003700|GO:0005622|GO:0006355|GO:0043565
2755613925	155	7	67	SUPERFAMILY	SSF46785			
2755613927	477	1	21	ProSiteProfiles	PS51257			
2755613928	354	151	341	ProSiteProfiles	PS50928	IPR000515	Binding-protein-dependent transport systems inner membrane component	GO:0005215|GO:0006810|GO:0016020
2755613928	354	146	337	SUPERFAMILY	SSF161098			
2755613933	550	31	116	SUPERFAMILY	SSF49464	IPR008969	Carboxypeptidase-like, regulatory domain	
2755613934	744	633	702	ProSiteProfiles	PS50126	IPR003029	Ribosomal protein S1, RNA-binding domain	GO:0003723
2755613934	744	314	407	SMART	SM00732	IPR006641	YqgF/RNase H-like domain	GO:0006139|GO:0016788
2755613934	744	453	540	SUPERFAMILY	SSF47781	IPR010994	RuvA domain 2-like	
2755613934	744	543	615	SUPERFAMILY	SSF47781	IPR010994	RuvA domain 2-like	
2755613934	744	310	452	SUPERFAMILY	SSF53098	IPR012337	Ribonuclease H-like domain	GO:0003676
2755613934	744	616	709	SUPERFAMILY	SSF50249	IPR012340	Nucleic acid-binding, OB-fold	
2755613934	744	631	702	SMART	SM00316	IPR022967	RNA-binding domain, S1	
2755613934	744	4	307	SUPERFAMILY	SSF158832			
2755613935	438	196	274	ProSiteProfiles	PS50164	IPR000305	GIY-YIG nuclease superfamily	
2755613935	438	197	275	SUPERFAMILY	SSF82771	IPR000305	GIY-YIG nuclease superfamily	
2755613935	438	197	278	SMART	SM00465	IPR000305	GIY-YIG nuclease superfamily	
2755613935	438	1	166	SMART	SM00479	IPR006055	Exonuclease	GO:0004527
2755613935	438	2	192	SUPERFAMILY	SSF53098	IPR012337	Ribonuclease H-like domain	GO:0003676
