gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2755609744	585	278	395	2	118	4.5e-50	168.8	pfam05299	Peptidase_M61	118
2755609745	243	27	81	1	54	1.5e-16	59.4	pfam10411	DsbC_N	54
2755609745	243	109	233	2	109	2.5e-30	105	pfam13098	Thioredoxin_2	109
2755609746	377	127	328	165	346	4.2e-15	55.7	pfam01494	FAD_binding_3	356
2755609747	285	6	121	2	119	1.7e-32	111.7	pfam03476	MOSC_N	120
2755609747	285	144	279	4	131	2.1e-20	73	pfam03473	MOSC	131
2755609748	364	4	145	2	93	1.9e-22	79.3	pfam01926	MMR_HSR1	114
2755609748	364	280	363	1	84	1.9e-38	130.4	pfam06071	YchF-GTPase_C	84
2755609749	452	2	299	10	286	1.1e-18	67.2	pfam07690	MFS_1	353
2755609750	215	6	204	3	215	2.2e-48	164.7	pfam01557	FAA_hydrolase	218
2755609751	332	3	108	1	105	5.9e-23	81.1	pfam02558	ApbA	152
2755609751	332	196	318	1	122	4.8e-24	84.8	pfam08546	ApbA_C	125
2755609752	380	9	380	5	381	4.2e-62	210	pfam00501	AMP-binding	423
2755609753	530	2	183	2	120	5.2e-06	26.4	pfam00293	NUDIX	131
2755609753	530	278	456	5	187	9.8e-17	61.5	pfam00753	Lactamase_B	197
2755609754	495	1	221	53	271	2.3e-25	89.6	pfam00664	ABC_membrane	274
2755609754	495	285	434	1	137	4.4e-30	104.8	pfam00005	ABC_tran	137
2755609755	210	14	144	2	131	2.0e-30	105.2	pfam03412	Peptidase_C39	133
2755609756	407	82	127	4	37	6.8e-07	28.9	pfam13533	Biotin_lipoyl_2	50
2755609756	407	278	400	2	83	1.5e-14	54.4	pfam13437	HlyD_3	106
2755609759	548	186	540	137	205	3.0e-05	23.2	pfam00890	FAD_binding_2	417
2755609760	148	2	140	1	137	4.6e-62	207.6	pfam01220	DHquinase_II	138
2755609762	141	4	134	1	119	3.9e-25	88.1	pfam03928	Haem_degrading	119
2755609763	324	47	321	2	273	1.5e-63	214.3	pfam03401	TctC	274
2755609764	516	5	352	2	354	3.7e-59	200.6	pfam01494	FAD_binding_3	356
2755609765	288	77	284	1	217	1.8e-61	207.5	pfam01557	FAA_hydrolase	218
2755609766	299	140	249	2	128	9.1e-14	51.6	pfam00903	Glyoxalase	128
2755609767	347	14	340	1	291	2.0e-43	149.1	pfam04909	Amidohydro_2	291
2755609768	317	17	76	1	59	2.4e-17	62.5	pfam00126	HTH_1	60
2755609768	317	102	307	7	204	9.3e-18	64.2	pfam03466	LysR_substrate	209
2755609769	944	38	269	5	238	4.3e-28	98	pfam17158	MASE4	239
2755609769	944	292	357	1	64	3.5e-17	62.1	pfam00512	HisKA	64
2755609769	944	404	520	1	110	8.9e-28	97	pfam02518	HATPase_c	111
2755609769	944	541	658	1	110	2.0e-18	66.5	pfam00072	Response_reg	112
2755609769	944	690	801	1	108	3.4e-27	94.7	pfam00072	Response_reg	112
2755609769	944	855	943	2	75	1.0e-06	28.7	pfam01627	Hpt	85
2755609770	170	24	166	12	139	5.1e-31	107.8	pfam05229	SCPU	139
2755609771	155	2	65	493	551	1.8e-06	27	pfam00577	Usher	551
2755609773	166	4	135	4	125	3.0e-11	43.4	pfam00293	NUDIX	131
2755609774	274	121	253	18	118	9.6e-34	115.7	pfam01618	MotA_ExbB	124
2755609775	141	16	140	6	129	2.2e-27	95.6	pfam02472	ExbD	130
2755609776	141	10	137	3	126	1.7e-23	83.1	pfam02472	ExbD	130
2755609779	381	153	323	1	202	9.4e-09	35.9	pfam00149	Metallophos	204
2755609780	371	4	136	1	136	1.8e-40	138.2	pfam05222	AlaDh_PNT_N	136
2755609780	371	140	371	1	212	1.3e-76	256.5	pfam01262	AlaDh_PNT_C	214
2755609781	102	9	93	2	82	2.9e-35	120.5	pfam12769	PNTB_4TM	82
2755609782	474	6	472	2	460	0.0e+00	618.3	pfam02233	PNTB	461
2755609783	564	33	469	2	422	1.0e-105	353.7	pfam00501	AMP-binding	423
2755609783	564	477	551	1	74	1.1e-17	64.6	pfam13193	AMP-binding_C	74
2755609784	233	4	232	2	233	7.7e-54	182.3	pfam01048	PNP_UDP_1	234
2755609785	340	37	335	5	292	9.6e-45	153	pfam01544	CorA	292
2755609788	158	96	155	7	51	5.3e-14	51.9	pfam09722	DUF2384	51
2755609789	160	6	158	2	156	1.3e-24	86.8	pfam08808	RES	162
2755609793	124	56	109	1	54	3.5e-13	49.2	pfam05598	DUF772	73
2755609794	429	33	119	1	100	4.5e-10	39.6	pfam09298	FAA_hydrolase_N	100
2755609794	429	124	424	3	217	9.6e-56	188.7	pfam01557	FAA_hydrolase	218
2755609795	178	6	135	1	128	3.5e-17	62.7	pfam00903	Glyoxalase	128
2755609796	103	3	103	1	64	1.1e-08	35.2	pfam02656	DUF202	68
2755609797	120	16	83	1	65	6.4e-14	52	pfam02656	DUF202	68
2755609798	327	50	324	1	273	1.6e-68	230.6	pfam03401	TctC	274
2755609799	317	3	62	1	59	4.2e-16	58.5	pfam00126	HTH_1	60
2755609799	317	89	300	3	206	1.1e-14	54.2	pfam03466	LysR_substrate	209
2755609800	529	3	415	1	309	1.4e-55	188.7	pfam00884	Sulfatase	309
2755609800	529	450	520	41	100	4.2e-08	33.2	pfam16347	DUF4976	103
2755609802	73	4	68	3	44	4.7e-08	33.1	pfam01527	HTH_Tnp_1	75
2755609803	374	38	136	5	75	1.8e-07	30.8	pfam00355	Rieske	89
2755609803	374	169	373	9	212	1.7e-31	109.8	pfam00848	Ring_hydroxyl_A	214
2755609804	300	151	285	5	131	4.8e-07	29.9	pfam00892	EamA	137
2755609805	297	7	143	1	107	3.1e-14	53.3	pfam00581	Rhodanese	107
2755609805	297	171	288	4	106	2.1e-06	28.1	pfam00581	Rhodanese	107
2755609808	439	8	278	5	251	6.2e-27	94.2	pfam00999	Na_H_Exchanger	381
2755609808	439	311	430	276	380	1.1e-07	30.9	pfam00999	Na_H_Exchanger	381
2755609809	278	77	189	2	93	8.6e-13	48	pfam12146	Hydrolase_4	239
2755609811	423	77	219	2	119	1.8e-11	43.9	pfam13091	PLDc_2	133
2755609811	423	262	391	4	132	1.5e-29	102.4	pfam13091	PLDc_2	133
2755609812	232	4	231	22	231	4.7e-57	193.5	pfam13350	Y_phosphatase3	232
2755609814	187	43	181	3	139	1.1e-27	96.8	pfam13628	DUF4142	139
2755609816	103	6	102	1	82	2.3e-19	70.2	pfam13609	Porin_4	312
2755609817	205	42	205	4	166	2.1e-40	138.2	pfam03232	COQ7	172
2755609818	149	43	143	2	99	1.1e-15	57.8	pfam02566	OsmC	100
2755609819	514	20	311	8	294	2.5e-78	263.4	pfam00291	PALP	294
2755609819	514	324	418	1	91	8.6e-24	83	pfam00585	Thr_dehydrat_C	91
2755609819	514	424	512	8	91	2.9e-22	78.1	pfam00585	Thr_dehydrat_C	91
2755609820	226	9	128	69	127	2.2e-07	30.7	pfam11356	T2SSC	140
2755609821	146	10	36	2	26	1.7e-08	33.5	pfam07963	N_methyl	27
2755609821	146	38	145	1	108	5.4e-43	145.3	pfam08334	T2SSG	108
2755609822	157	15	41	5	26	8.4e-09	34.5	pfam07963	N_methyl	27
2755609823	124	8	33	5	26	4.2e-09	35.4	pfam07963	N_methyl	27
2755609823	124	46	122	4	80	5.2e-23	80.9	pfam02501	T2SSI	80
2755609824	227	1	27	1	25	5.0e-07	28.9	pfam07963	N_methyl	27
2755609825	324	28	306	1	279	8.9e-62	208.9	pfam03934	T2SSK	280
2755609826	400	4	236	46	232	1.1e-14	54.2	pfam05134	T2SSL	233
2755609826	400	254	400	6	140	9.5e-12	44.9	pfam12693	GspL_C	158
2755609827	162	6	159	2	155	1.5e-18	67.2	pfam04612	T2SSM	160
2755609828	265	48	262	2	207	2.0e-25	90.2	pfam01203	T2SSN	211
2755609829	360	139	200	1	79	1.5e-09	38	pfam03958	Secretin_N	82
2755609829	360	202	287	1	79	1.1e-11	44.8	pfam03958	Secretin_N	82
2755609830	297	4	193	1	197	3.2e-19	69.6	pfam00753	Lactamase_B	197
2755609831	560	29	469	2	422	3.1e-95	319.1	pfam00501	AMP-binding	423
2755609831	560	477	551	1	74	3.9e-19	69.3	pfam13193	AMP-binding_C	74
2755609833	309	121	306	1	141	3.9e-08	34.1	pfam12697	Abhydrolase_6	212
2755609834	219	30	117	3	83	1.8e-18	66.2	pfam00027	cNMP_binding	88
2755609834	219	149	215	2	60	2.3e-10	40.2	pfam13545	HTH_Crp_2	68
2755609835	384	16	164	1	139	2.8e-62	208.8	pfam14696	Glyoxalase_5	139
2755609835	384	183	299	2	109	7.7e-13	48.6	pfam00903	Glyoxalase	128
2755609836	160	7	48	1	42	1.6e-18	66.1	pfam13404	HTH_AsnC-type	42
2755609836	160	73	151	9	74	4.9e-24	83.9	pfam01037	AsnC_trans_reg	75
2755609837	233	45	162	39	111	2.8e-07	30.7	pfam00583	Acetyltransf_1	117
2755609838	292	69	128	11	54	3.4e-05	24.1	pfam00571	CBS	57
2755609838	292	133	188	11	56	2.2e-06	27.9	pfam00571	CBS	57
2755609838	292	205	285	4	79	1.7e-14	53.4	pfam03471	CorC_HlyC	81
2755609839	506	223	475	2	252	1.9e-18	66.6	pfam00795	CN_hydrolase	261
2755609840	301	4	281	1	278	0.0e+00	504.7	pfam02091	tRNA-synt_2e	278
2755609841	702	6	563	1	534	0.0e+00	671.3	pfam02092	tRNA_synt_2f	534
2755609841	702	591	697	4	106	3.0e-06	27.3	pfam05746	DALR_1	119
2755609842	190	98	173	1	57	1.2e-08	34.8	pfam13242	Hydrolase_like	75
2755609843	244	58	188	2	133	5.0e-21	74.6	pfam01553	Acyltransferase	134
2755609844	323	99	318	1	206	1.0e-50	172.5	pfam01863	DUF45	207
2755609845	1127	35	248	4	189	1.2e-12	48	pfam02743	dCache_1	249
2755609845	1127	277	349	3	68	7.4e-12	45.2	pfam00672	HAMP	69
2755609845	1127	525	613	2	89	3.4e-14	52.7	pfam08447	PAS_3	89
