gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2727816777	382	175	360	23	169	2.3e-11	43.7	pfam00589	Phage_integrase	172
2727816779	418	24	345	2	199	3.4e-36	124.7	pfam01545	Cation_efflux	199
2727816783	559	75	431	2	358	2.7e-81	273.2	pfam01566	Nramp	358
2727816784	409	23	409	21	377	1.5e-43	149.6	pfam04966	OprB	378
2727816785	126	1	121	94	213	6.1e-17	62.1	pfam01988	VIT1	214
2727816787	263	44	166	1	120	1.1e-31	109.5	pfam02308	MgtC	121
2727816789	331	175	260	4	87	1.7e-15	57	pfam02371	Transposase_20	87
2727816790	521	128	257	3	118	3.3e-19	69.1	pfam00665	rve	119
2727816791	268	57	234	2	177	1.0e-63	214.2	pfam01695	IstB_IS21	178
2727816796	464	56	123	42	90	5.2e-07	30.1	pfam12834	Phage_int_SAM_2	91
2727816796	464	161	294	37	148	6.5e-06	26.2	pfam12835	Integrase_1	149
2727816797	190	89	167	42	90	1.1e-04	22.6	pfam12834	Phage_int_SAM_2	91
2727816798	279	38	279	1	224	2.6e-45	155.5	pfam13458	Peripla_BP_6	342
2727816803	374	172	360	19	169	3.2e-17	62.7	pfam00589	Phage_integrase	172
2727816804	141	15	141	3	133	9.1e-13	48.2	pfam01548	DEDD_Tnp_IS110	155
2727816806	981	9	171	12	166	3.8e-20	72.2	pfam13700	DUF4158	166
2727816806	981	567	950	1	388	1.1e-97	327.2	pfam01526	DDE_Tnp_Tn3	389
