gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2755613823	218	26.79	4	204	5	207	5.0e-20	91.2	COG1999	Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family	207
2755613825	357	28.38	3	288	1	290	1.0e-47	184	COG1454	Alcohol dehydrogenase, class IV	377
2755613827	333	35.44	3	318	1	309	2.0e-72	266	COG1984	Allophanate hydrolase subunit 2	314
2755613828	261	50	10	244	4	243	2.0e-87	315	COG1540	Lactam utilization protein B (function unknown)	252
2755613829	406	29.9	22	405	18	413	6.0e-53	202	COG1914	Mn2+ and Fe2+ transporters of the NRAMP family	416
2755613830	234	31.67	1	213	7	223	9.0e-37	146	COG0300	Short-chain dehydrogenase	265
2755613831	231	28.21	1	231	2	226	1.0e-24	106	COG1011	FMN phosphatase YigB, HAD superfamily	229
2755613833	219	34.25	3	215	28	234	3.0e-38	151	COG0688	Phosphatidylserine decarboxylase	239
2755613834	457	31.4	8	430	42	466	4.0e-88	318	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	472
2755613835	221	38	63	211	1	149	2.0e-39	156	COG0386	Glutathione peroxidase, house-cleaning role in reducing lipid peroxides	162
2755613838	247	28	1	241	2	250	6.0e-35	141	COG1192	Cellulose biosynthesis protein BcsQ	259
2755613839	243	32.92	1	239	1	227	3.0e-44	172	COG4947	Esterase/lipase superfamily enzyme	227
2755613842	482	27.95	40	349	9	325	4.0e-51	195	COG1473	Metal-dependent amidase/aminoacylase/carboxypeptidase	392
2755613843	507	54.6	1	504	6	502	0.0e+00	635	COG1190	Lysyl-tRNA synthetase (class II)	502
2755613845	335	51.47	25	329	22	324	1.0e-112	399	COG0379	Quinolinate synthase	324
2755613849	196	18.92	17	190	11	194	9.0e-12	63.7	COG0664	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	214
2755613850	182	24.53	26	175	18	176	3.0e-13	68.7	COG2128	Alkylhydroperoxidase family enzyme, contains CxxC motif	177
2755613852	512	27.59	7	402	3	385	2.0e-48	187	COG1680	CubicO group peptidase, beta-lactamase class C family	390
2755613854	185	25.99	8	184	19	181	1.0e-25	109	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	182
2755613855	1045	24.62	615	977	24	406	8.0e-32	133	COG1228	Imidazolonepropionase or related amidohydrolase	406
2755613856	453	23.17	23	439	1	406	4.0e-29	123	COG1228	Imidazolonepropionase or related amidohydrolase	406
2755613859	945	51	348	945	2	593	0.0e+00	645	COG0749	DNA polymerase I - 3'-5' exonuclease and polymerase domains	593
2755613861	206	23.32	5	194	7	195	3.0e-11	61.9	COG4430	Uncharacterized conserved protein YdeI, YjbR/CyaY-like superfamily, DUF1801 family	200
2755613866	596	39.24	2	593	14	607	0.0e+00	521	COG1022	Long-chain acyl-CoA synthetase (AMP-forming)	613
2755613867	264	38.02	5	244	59	294	7.0e-61	227	COG4302	Ethanolamine ammonia-lyase, small subunit	294
2755613868	460	56.89	1	444	1	448	0.0e+00	658	COG4303	Ethanolamine ammonia-lyase, large subunit	453
