gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2755613823	218	53.02	1	215	1	214	3.1e-76	262	KO:K07152	protein SCO1/2		Yes
2755613825	357	87.09	1	357	1	364	0.0e+00	738	KO:K19714	3-deoxy-alpha-D-manno-octulosonate 8-oxidase [EC:1.1.3.48]	EC:1.1.3.48	Yes
2755613827	333	46.63	1	324	1	326	1.0e-91	316	KO:K06350	antagonist of KipI		Yes
2755613828	261	55.98	10	243	2	235	2.0e-88	301	KO:K07160	UPF0271 protein		Yes
2755613831	231	62.61	1	230	1	230	3.5e-111	362	KO:K07025	putative hydrolase of the HAD superfamily		Yes
2755613833	219	67.74	1	217	1	217	1.7e-103	339	KO:K01613	phosphatidylserine decarboxylase [EC:4.1.1.65]	EC:4.1.1.65	Yes
2755613834	457	65.2	5	457	5	458	0.0e+00	704	KO:K00128	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	EC:1.2.1.3	Yes
2755613835	221	52.82	27	221	1	194	1.5e-71	249	KO:K00432	glutathione peroxidase [EC:1.11.1.9]	EC:1.11.1.9	Yes
2755613842	482	61.24	16	481	18	474	0.0e+00	657	KO:K12941	aminobenzoyl-glutamate utilization protein B		Yes
2755613843	507	79.21	2	506	3	507	0.0e+00	946	KO:K04567	lysyl-tRNA synthetase, class II [EC:6.1.1.6]	EC:6.1.1.6	Yes
2755613844	701	40.19	1	701	1	712	0.0e+00	560	KO:K03770	peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]	EC:5.2.1.8	Yes
2755613845	335	82.01	6	333	7	334	0.0e+00	626	KO:K03517	quinolinate synthase [EC:2.5.1.72]	EC:2.5.1.72	Yes
2755613854	185	46.89	10	182	22	198	5.6e-55	198	KO:K03088	RNA polymerase sigma-70 factor, ECF subfamily		Yes
2755613859	945	72.68	2	945	7	953	0.0e+00	1590	KO:K02335	DNA polymerase I [EC:2.7.7.7]	EC:2.7.7.7	Yes
2755613866	596	64.24	5	593	7	591	0.0e+00	898	KO:K01897	long-chain acyl-CoA synthetase [EC:6.2.1.3]	EC:6.2.1.3	Yes
2755613867	264	63.56	13	246	15	250	1.7e-95	321	KO:K03736	ethanolamine ammonia-lyase small subunit [EC:4.3.1.7]	EC:4.3.1.7	Yes
2755613868	460	76.75	1	456	11	465	0.0e+00	811	KO:K03735	ethanolamine ammonia-lyase large subunit [EC:4.3.1.7]	EC:4.3.1.7	Yes
2755613869	438	64.44	6	424	4	422	0.0e+00	659	KO:K16238	ethanolamine permease		Yes
2755613871	263	47.44	30	263	3	224	5.5e-62	224	KO:K03524	BirA family transcriptional regulator, biotin operon repressor / biotin-[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]	EC:6.3.4.15	Yes
2755613872	133	66.92	1	133	1	132	4.9e-63	216	KO:K09710	ribosome-associated protein		Yes
2755613873	695	70.13	3	693	2	685	0.0e+00	1080	KO:K03798	cell division protease FtsH [EC:3.4.24.-]	EC:3.4.24.-	Yes
2755613874	211	66.19	1	210	1	210	5.8e-101	331	KO:K00782	L-lactate dehydrogenase complex protein LldG		Yes
2755613875	251	69.46	9	247	9	247	0.0e+00	424	KO:K03269	UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]	EC:3.6.1.54	Yes
2755613876	363	51.34	19	352	1	334	3.4e-119	397	KO:K16052	MscS family membrane protein		Yes
2755613879	282	52.69	4	282	12	290	1.6e-104	348	KO:K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	EC:1.1.1.157	Yes
2755613883	150	72	1	150	1	150	1.3e-70	239	KO:K09117	uncharacterized protein		Yes
2755613884	178	43.18	1	176	1	176	4.9e-51	186	KO:K03558	membrane protein required for colicin V production		Yes
2755613888	292	63.36	1	292	1	292	0.0e+00	437	KO:K00858	NAD+ kinase [EC:2.7.1.23]	EC:2.7.1.23	Yes
2755613889	257	42.69	3	255	21	250	7.3e-65	232	KO:K06351	inhibitor of KinA		Yes
2755613891	789	60.41	68	789	75	802	0.0e+00	1020	KO:K05349	beta-glucosidase [EC:3.2.1.21]	EC:3.2.1.21	Yes
2755613892	280	73.91	5	280	4	279	0.0e+00	465	KO:K02357	elongation factor Ts		Yes
2755613893	295	80.36	1	280	1	279	0.0e+00	514	KO:K02967	small subunit ribosomal protein S2		Yes
2755613894	129	78.29	1	129	1	129	5.4e-70	235	KO:K02996	small subunit ribosomal protein S9		Yes
2755613895	147	80.27	1	147	1	147	1.6e-87	286	KO:K02871	large subunit ribosomal protein L13		Yes
2755613898	246	50.61	1	245	1	245	1.2e-83	286	KO:K03584	DNA repair protein RecO (recombination protein O)		Yes
2755613899	342	72.22	1	342	1	342	0.0e+00	602	KO:K01889	phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]	EC:6.1.1.20	Yes
2755613901	434	79.49	1	434	1	434	0.0e+00	796	KO:K00790	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	EC:2.5.1.7	Yes
2755613903	501	49.9	1	489	1	496	0.0e+00	563	KO:K17759	NAD(P)H-hydrate epimerase [EC:5.1.99.6]	EC:5.1.99.6	Yes
2755613906	1035	59.21	1	1018	1	1029	0.0e+00	1420	KO:K00184	prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit		Yes
2755613907	479	81.86	3	476	4	477	0.0e+00	966	KO:K00185	prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit		Yes
2755613911	354	60.39	2	350	4	357	0.0e+00	503	KO:K02275	cytochrome c oxidase subunit II [EC:1.9.3.1]	EC:1.9.3.1	Yes
2755613912	607	81.56	8	607	3	602	0.0e+00	1210	KO:K02274	cytochrome c oxidase subunit I [EC:1.9.3.1]	EC:1.9.3.1	Yes
2755613913	298	61.51	14	297	9	299	4.9e-128	417	KO:K02301	protoheme IX farnesyltransferase [EC:2.5.1.-]	EC:2.5.1.-	Yes
2755613914	191	52.46	6	188	5	184	1.3e-66	232	KO:K02276	cytochrome c oxidase subunit III [EC:1.9.3.1]	EC:1.9.3.1	Yes
2755613915	227	79.55	7	226	5	223	0.0e+00	433	KO:K02276	cytochrome c oxidase subunit III [EC:1.9.3.1]	EC:1.9.3.1	Yes
2755613917	272	44.12	1	272	1	267	8.8e-77	268	KO:K07152	protein SCO1/2		Yes
2755613918	180	65.92	1	179	1	179	1.2e-85	284	KO:K08976	putative membrane protein		Yes
2755613920	127	70.37	18	125	24	131	9.1e-52	183	KO:K07443	methylated-DNA-protein-cysteine methyltransferase related protein		Yes
2755613922	234	62.34	1	231	1	230	1.3e-101	335	KO:K03439	tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]	EC:2.1.1.33	Yes
2755613925	155	78.43	1	153	1	153	2.8e-83	275	KO:K03718	Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA		Yes
2755613928	354	66.95	7	351	11	364	0.0e+00	540	KO:K02034	peptide/nickel transport system permease protein		Yes
2755613934	744	58.61	2	743	3	749	0.0e+00	944	KO:K06959	protein Tex		Yes
2755613935	438	49.21	1	428	1	445	0.0e+00	485	KO:K02342	DNA polymerase III subunit epsilon [EC:2.7.7.7]	EC:2.7.7.7	Yes
2755613936	899	60.48	3	898	39	928	0.0e+00	1260	KO:K01873	valyl-tRNA synthetase [EC:6.1.1.9]	EC:6.1.1.9	Yes
