contig contig_geneID GC Genome
Ga0182881_1001 Ga0182881_10011 0.469 121951.assembled.gff
Ga0182881_1001 Ga0182881_10012 0.412 121951.assembled.gff
Ga0182881_1001 Ga0182881_10013 0.482 121951.assembled.gff
Ga0182881_1002 Ga0182881_10021 0.453 121951.assembled.gff
Ga0182881_1002 Ga0182881_10022 0.496 121951.assembled.gff
Ga0182881_1002 Ga0182881_10023 0.438 121951.assembled.gff
Ga0182881_1002 Ga0182881_10024 0.452 121951.assembled.gff
Ga0182881_1002 Ga0182881_10025 0.457 121951.assembled.gff
Ga0182881_1002 Ga0182881_10026 0.437 121951.assembled.gff
Ga0182881_1003 Ga0182881_10031 0.429 121951.assembled.gff
Ga0182881_1003 Ga0182881_10032 0.447 121951.assembled.gff
Ga0182881_1003 Ga0182881_10033 0.331 121951.assembled.gff
Ga0182881_1003 Ga0182881_10034 0.381 121951.assembled.gff
Ga0182881_1003 Ga0182881_10035 0.408 121951.assembled.gff
Ga0182881_1004 Ga0182881_10041 0.438 121951.assembled.gff
Ga0182881_1004 Ga0182881_10042 0.513 121951.assembled.gff
Ga0182881_1004 Ga0182881_10043 0.474 121951.assembled.gff
Ga0182881_1004 Ga0182881_10044 0.502 121951.assembled.gff
Ga0182881_1004 Ga0182881_10045 0.423 121951.assembled.gff
Ga0182881_1004 Ga0182881_10046 0.47 121951.assembled.gff
Ga0182881_1004 Ga0182881_10047 0.481 121951.assembled.gff
Ga0182881_1004 Ga0182881_10048 0.461 121951.assembled.gff
Ga0182881_1004 Ga0182881_10049 0.437 121951.assembled.gff
Ga0182881_1004 Ga0182881_100410 0.489 121951.assembled.gff
Ga0182881_1004 Ga0182881_100411 0.44 121951.assembled.gff
Ga0182881_1004 Ga0182881_100412 0.468 121951.assembled.gff
Ga0182881_1004 Ga0182881_100413 0.539 121951.assembled.gff
Ga0182881_1005 Ga0182881_10051 0.474 121951.assembled.gff
Ga0182881_1005 Ga0182881_10052 0.465 121951.assembled.gff
Ga0182881_1005 Ga0182881_10053 0.471 121951.assembled.gff
Ga0182881_1005 Ga0182881_10054 0.472 121951.assembled.gff
Ga0182881_1005 Ga0182881_10055 0.461 121951.assembled.gff
Ga0182881_1005 Ga0182881_10056 0.454 121951.assembled.gff
Ga0182881_1005 Ga0182881_10057 0.474 121951.assembled.gff
Ga0182881_1005 Ga0182881_10058 0.453 121951.assembled.gff
Ga0182881_1005 Ga0182881_10059 0.444 121951.assembled.gff
Ga0182881_1005 Ga0182881_100510 0.452 121951.assembled.gff
Ga0182881_1005 Ga0182881_100511 0.478 121951.assembled.gff
Ga0182881_1005 Ga0182881_100512 0.449 121951.assembled.gff
Ga0182881_1005 Ga0182881_100513 0.469 121951.assembled.gff
Ga0182881_1005 Ga0182881_100514 0.457 121951.assembled.gff
Ga0182881_1005 Ga0182881_100515 0.431 121951.assembled.gff
Ga0182881_1005 Ga0182881_100516 0.444 121951.assembled.gff
Ga0182881_1005 Ga0182881_100517 0.454 121951.assembled.gff
Ga0182881_1005 Ga0182881_100518 0.472 121951.assembled.gff
Ga0182881_1005 Ga0182881_100519 0.493 121951.assembled.gff
