gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2727816810	190	40.11	3	178	5	181	9.8e-40	154	KO:K19302	undecaprenyl-diphosphatase [EC:3.6.1.27]	EC:3.6.1.27	Yes
2727816814	233	75.86	1	232	1	232	0.0e+00	437	KO:K11209	GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]	EC:1.8.4.-	Yes
2727816820	137	75.71	1	137	1	140	1.2e-70	237	KO:K03282	large conductance mechanosensitive channel		Yes
2727816824	413	75.79	35	413	7	383	0.0e+00	657	KO:K01999	branched-chain amino acid transport system substrate-binding protein		Yes
2727816825	485	71.4	1	479	1	474	0.0e+00	833	KO:K07133	uncharacterized protein		Yes
2727816851	450	38.67	1	444	1	478	1.5e-87	312	KO:K03195	type IV secretion system protein VirB10		Yes
2727816852	281	52.65	15	281	9	287	1.4e-90	309	KO:K03204	type IV secretion system protein VirB9		Yes
2727816853	245	46.67	5	244	3	242	4.0e-75	261	KO:K03203	type IV secretion system protein VirB8		Yes
2727816856	655	46.33	156	631	147	621	0.0e+00	483	KO:K13525	transitional endoplasmic reticulum ATPase		Yes
2727816859	846	63	1	845	1	845	0.0e+00	1250	KO:K03199	type IV secretion system protein VirB4		Yes
2727816862	328	39.38	8	326	4	323	2.3e-75	268	KO:K02283	pilus assembly protein CpaF		Yes
2727816865	645	46.59	1	643	1	628	0.0e+00	643	KO:K12071	conjugal transfer pilus assembly protein TraD		Yes
2727816866	603	30.22	14	465	2	457	9.3e-52	205	KO:K12070	conjugal transfer pilus assembly protein TraI		Yes
2727816870	356	34.14	1	288	1	263	8.3e-39	160	KO:K06919	putative DNA primase/helicase		Yes
2727816874	855	61.31	26	855	12	862	0.0e+00	1170	KO:K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	EC:1.17.4.1	Yes
2727816879	269	39.93	2	262	93	354	1.2e-55	206	KO:K09882	cobaltochelatase CobS [EC:6.6.1.2]	EC:6.6.1.2	Yes
2727816884	357	36.62	1	349	38	391	4.2e-67	246	KO:K18640	plasmid segregation protein ParM		Yes
2727816892	237	49.78	8	236	5	224	4.5e-69	243	KO:K08738	cytochrome c		Yes
2727816941	428	55.13	17	422	19	437	0.0e+00	525	KO:K07265	capsular polysaccharide export protein		Yes
2727816942	449	66.15	1	448	22	469	0.0e+00	691	KO:K00971	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	EC:2.7.7.13	Yes
2727816943	369	56.58	13	369	25	381	0.0e+00	468	KO:K10107	capsular polysaccharide transport system permease protein		Yes
2727816944	260	71.32	3	260	10	267	0.0e+00	446	KO:K09688	capsular polysaccharide transport system permease protein		Yes
2727816945	217	71.16	1	215	1	215	1.1e-113	368	KO:K09689	capsular polysaccharide transport system ATP-binding protein		Yes
2727816950	344	84.3	1	344	3	346	0.0e+00	679	KO:K01711	GDPmannose 4,6-dehydratase [EC:4.2.1.47]	EC:4.2.1.47	Yes
2727816952	277	61.59	2	276	81	348	3.8e-111	367	KO:K01991	polysaccharide export outer membrane protein		Yes
2727816953	347	58.74	1	346	7	354	0.0e+00	468	KO:K07266	capsular polysaccharide export protein		Yes
2727816958	424	73.23	27	422	1	396	0.0e+00	678	KO:K07493	putative transposase		Yes
2727816983	320	60.69	1	318	1	318	0.0e+00	460	KO:K07481	transposase, IS5 family		Yes
2727816995	320	45.08	7	319	4	318	7.7e-86	298	KO:K03497	chromosome partitioning protein, ParB family		Yes
2727816996	225	72.07	3	224	2	223	1.5e-112	366	KO:K03496	chromosome partitioning protein		Yes
2727817007	214	46.75	52	205	1	148	1.1e-34	141	KO:K01971	bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]	EC:6.5.1.1	Yes
2727817013	709	48.06	14	708	40	758	0.0e+00	706	KO:K03722	ATP-dependent DNA helicase DinG [EC:3.6.4.12]	EC:3.6.4.12	Yes
2727817017	285	49.67	1	280	1	303	2.5e-88	303	KO:K07448	restriction system protein		Yes
